TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
0,1,RDL-3000-0,SC,save config,,,PASS,,chsize=0.875,
0,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,chsize=0.875,
0,1,RDL-3000-0,SS,save config,,,PASS,,chsize=0.875,
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,chsize=0.875,
400,1,RDL-3000-400,SC,new group,group ID: ?,group_id1,PASS,NEXT,chsize=0.875,
400,1,RDL-3000-400,SC,show groups $group_id1,Group,,PASS,,chsize=0.875,
400,1,RDL-3000-400,SC,set idname $group_id1 NEW_GROUP ,idname       = NEW_GROUP,,PASS,,chsize=0.875,
400,1,RDL-3000-400,SC,set grpviden $group_id1 on,grpviden     = on,,PASS,,chsize=0.875,
400,1,RDL-3000-400,SC,set groupmode $group_id1 mimoab,groupmode.*= mimoab,,PASS,,chsize=0.875,
400,1,RDL-3000-400,SC,enable $group_id1,ID enabled,,PASS,,chsize=0.875,
400,1,RDL-3000-400,SC,show groups $group_id1,NEW_GROUP     Group,,PASS,,chsize=0.875,
400,1,RDL-3000-400,SC,del id $group_id1,,,PASS,NEXT,chsize=0.875,
400,1,RDL-3000-400,SC,show groups $group_id1,Invalid ID status,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,new group,group ID: ?,group_id2,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set idname $group_id2 OTHER_GROUP ,idname       = OTHER_GROUP,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set groupmode $group_id2 mimoab,groupmode    = mimoab,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grpviden $group_id2 on,grpviden     = on,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grpvid $group_id2 1,grpvid       = 1,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grppri $group_id2 2,grppri       = 2,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grpcir $group_id2 50,grpcir       = 50,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grppir $group_id2 50,grppir       = 50,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grpcir $group_id2 100000,Error: Out of range.,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grppir $group_id2 50000,grppir       = 50000,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grpcir $group_id2 49,Syntax: grpcir,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grppir $group_id2 49,Syntax: grppir,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grpcir $group_id2 100001,Syntax: grpcir,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grppir $group_id2 100001,Syntax: grppir,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grpcir $group_id2 650,grpcir       = 650,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grppir $group_id2 45000,grppir       = 45000,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set grprate $group_id2 5,(12.60 Mbps),,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set bsporten $group_id2 off,bsporten     = off,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,set sstoss $group_id2 off,sstoss       = off,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,enable $group_id2,ID enabled,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,show groups $group_id2,OTHER_GROUP     Group,,PASS,,chsize=0.875,
401,1,RDL-3000-401,SC,del id $group_id2,,,PASS,,chsize=0.875,
402,1,RDL-3000-402,SC,set chsize 0.875,,,PASS,NEXT,chsize=0.875,
402,1,RDL-3000-402,SC,save config,,,PASS,,chsize=0.875,
403,1,RDL-3000-403,SC,new group,group ID: ?,group_id3,PASS,,chsize=0.875,
404,1,RDL-3000-404,SC,set idname $group_id3 TEST_GROUP1,idname       = TEST_GROUP1,,PASS,,chsize=0.875,
405,1,RDL-3000-405,SC,set groupmode $group_id3 mimoab,groupmode    = mimoab,,PASS,,chsize=0.875,
406,1,RDL-3000-406,SC,set grpviden $group_id3 on,grpviden     = on,,PASS,,chsize=0.875,
407,1,RDL-3000-407,SC,set bsporten $group_id3 off,bsporten     = off,,PASS,,chsize=0.875,
408,1,RDL-3000-408,SC,set bsporten $group_id3 on,bsporten     = on,,PASS,,chsize=0.875,
409,1,RDL-3000-409,SC,set sstoss $group_id3 on,sstoss       = on,,PASS,,chsize=0.875,
410,1,RDL-3000-410,SC,set sstoss $group_id3 off,sstoss       = off,,PASS,,chsize=0.875,
411,1,RDL-3000-411,SC,set groupmode $group_id3 mimoa,groupmode    = mimoa,,PASS,,chsize=0.875,
412,1,RDL-3000-412,SC,set grprate $group_id3 0,(0.3 Mbps),,PASS,,chsize=0.875,
413,1,RDL-3000-413,SC,set grprate $group_id3 1,(0.5 Mbps),,PASS,,chsize=0.875,
414,1,RDL-3000-414,SC,set grprate $group_id3 2,(0.8 Mbps),,PASS,,chsize=0.875,
415,1,RDL-3000-415,SC,set grprate $group_id3 3,(1.1 Mbps),,PASS,,chsize=0.875,
416,1,RDL-3000-416,SC,set grprate $group_id3 4,(1.6 Mbps),,PASS,,chsize=0.875,
417,1,RDL-3000-417,SC,set grprate $group_id3 5,(2.1 Mbps),,PASS,,chsize=0.875,
418,1,RDL-3000-418,SC,set grprate $group_id3 6,(2.4 Mbps),,PASS,,chsize=0.875,
419,1,RDL-3000-419,SC,set grprate $group_id3 7,(2.6 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-420,SC,set grprate $group_id3 8,(2.8 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-421,SC,set grprate $group_id3 9,(3.2 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-422,SC,set grprate $group_id3 10,(3.5 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-423,SC,set grprate $group_id3 11,(3.7 Mbps),,PASS,,chsize=0.875,
420,1,RDL-3000-420,SC,set groupmode $group_id3 mimoab,groupmode    = mimoab,,PASS,,chsize=0.875,
421,1,RDL-3000-421,SC,set grprate $group_id3 0,(0.3 Mbps),,PASS,,chsize=0.875,
422,1,RDL-3000-422,SC,set grprate $group_id3 1,(0.5 Mbps),,PASS,,chsize=0.875,
423,1,RDL-3000-423,SC,set grprate $group_id3 2,(0.8 Mbps),,PASS,,chsize=0.875,
424,1,RDL-3000-424,SC,set grprate $group_id3 3,(1.1 Mbps),,PASS,,chsize=0.875,
425,1,RDL-3000-425,SC,set grprate $group_id3 4,(1.6 Mbps),,PASS,,chsize=0.875,
426,1,RDL-3000-426,SC,set grprate $group_id3 5,(2.1 Mbps),,PASS,,chsize=0.875,
427,1,RDL-3000-427,SC,set grprate $group_id3 6,(2.4 Mbps),,PASS,,chsize=0.875,
428,1,RDL-3000-428,SC,set grprate $group_id3 7,(2.6 Mbps),,PASS,,chsize=0.875,
429,1,RDL-3000-429,SC,set grprate $group_id3 8,(2.8 Mbps),,PASS,,chsize=0.875,
430,1,RDL-3000-430,SC,set grprate $group_id3 9,(3.2 Mbps),,PASS,,chsize=0.875,
431,1,RDL-3000-431,SC,set grprate $group_id3 10,(3.5 Mbps),,PASS,,chsize=0.875,
432,1,RDL-3000-432,SC,set grprate $group_id3 11,(3.7 Mbps),,PASS,,chsize=0.875,
433,1,RDL-3000-433,SC,set grprate $group_id3 12,(0.5 Mbps),,PASS,,chsize=0.875,
434,1,RDL-3000-434,SC,set grprate $group_id3 13,(1.1 Mbps),,PASS,,chsize=0.875,
435,1,RDL-3000-435,SC,set grprate $group_id3 14,(1.6 Mbps),,PASS,,chsize=0.875,
436,1,RDL-3000-436,SC,set grprate $group_id3 15,(2.1 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-437,SC,set grprate $group_id3 16,(3.2 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-438,SC,set grprate $group_id3 17,(4.2 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-439,SC,set grprate $group_id3 18,(4.7 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-440,SC,set grprate $group_id3 19,(5.3 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-441,SC,set grprate $group_id3 20,(5.6 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-442,SC,set grprate $group_id3 21,(6.3 Mbps),,PASS,,chsize=0.875,
,1,RDL-3000-443,SC,set grprate $group_id3 22,(7 Mbps) ,,PASS,,chsize=0.875,
,1,RDL-3000-444,SC,set grprate $group_id3 23,(7.4 Mbps),,PASS,,chsize=0.875,
437,1,RDL-3000-437,SC,set grprate $group_id3 auto,grprate      = auto,,PASS,,chsize=0.875,
438,1,RDL-3000-438,SC,set grpcir $group_id3 50,grpcir       = 50,,PASS,,chsize=0.875,
439,1,RDL-3000-439,SC,set grpcir $group_id3 50000,grpcir       = 50000,,PASS,,chsize=0.875,
440,1,RDL-3000-440,SC,set grpcir $group_id3 100000,Syntax: grpcir,,PASS,,chsize=0.875,
