TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
2,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,,
3,1,RDL-3000-0,SS,save config,,,PASS,,,
4,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
5,1,RDL-3000-110,ALL,set sysmode test,Syntax: sysmode,,PASS,,,
6,1,RDL-3000-111,ALL,set sysmode pmpss,,,PASS,NEXT,,
7,2,RDL-3000-111,ALL,set sysmode,sysmode      = pmpss,,PASS,,,
8,3,RDL-3000-111,ALL,set sysmode pmpsc,,,PASS,NEXT,,
9,4,RDL-3000-111,ALL,set sysmode,sysmode      = pmpsc,,PASS,,,
10,5,RDL-3000-111,SS,set sysmode pmpss,,,PASS,NEXT,,
11,1,RDL-3000-112,ALL,set chsize 50,Syntax: chsize,,PASS,,,
12,1,RDL-3000-113,ALL,set chsize 0.875,,,PASS,NEXT,,
13,2,RDL-3000-113,ALL,set chsize,chsize       = 0.875 MHz,,PASS,,,
14,1,RDL-3000-113,ALL,set chsize 1.25,,,PASS,NEXT,,
15,2,RDL-3000-113,ALL,set chsize,chsize       = 1.25 MHz,,PASS,,,
16,1,RDL-3000-113,ALL,set chsize 1.75,,,PASS,NEXT,,
17,2,RDL-3000-113,ALL,set chsize,chsize       = 1.75 MHz,,PASS,,,
18,1,RDL-3000-113,ALL,set chsize 2.5,,,PASS,NEXT,,
19,2,RDL-3000-113,ALL,set chsize,chsize       = 2.5 MHz,,PASS,,,
20,1,RDL-3000-113,ALL,set chsize 3.5,,,PASS,NEXT,,
21,2,RDL-3000-113,ALL,set chsize,chsize       = 3.5 MHz,,PASS,,,
22,1,RDL-3000-113,ALL,set chsize 5,,,PASS,NEXT,,
23,2,RDL-3000-113,ALL,set chsize,chsize       = 5 MHz,,PASS,,,
24,1,RDL-3000-113,ALL,set chsize 7,,,PASS,NEXT,,
25,2,RDL-3000-113,ALL,set chsize,chsize       = 7 MHz,,PASS,,,
26,1,RDL-3000-113,ALL,set chsize 10,,,PASS,NEXT,,
27,2,RDL-3000-113,ALL,set chsize,chsize       = 10 MHz,,PASS,,,
28,1,RDL-3000-113,ALL,set chsize 14,,,PASS,NEXT,,
29,2,RDL-3000-113,ALL,set chsize,chsize       = 14 MHz,,PASS,,,
30,1,RDL-3000-114,ALL,set chsize 20,,,PASS,NEXT,,
31,2,RDL-3000-114,ALL,set chsize,chsize       = 20 MHz,,PASS,,,
32,1,RDL-3000-115,ALL,set rffreq 3550,,,PASS,NEXT,,
33,2,RDL-3000-115,ALL,set rffreq, = 3550,,PASS,,,
34,1,RDL-3000-116,ALL,set rffreq 3600,,,PASS,NEXT,,
35,2,RDL-3000-116,ALL,set rffreq, = 3600,,PASS,,,
36,1,RDL-3000-117,SS,set autoscan on,,,PASS,NEXT,,
37,2,RDL-3000-117,SS,set autoscan,autoscan     = On,,PASS,,,
38,1,RDL-3000-118,SS,set autoscan off,,,PASS,NEXT,,
39,2,RDL-3000-118,SS,set autoscan,autoscan     = Off,,PASS,,,
40,1,RDL-3000-119,SS,set autoscan 0,Syntax: autoscan,,PASS,,,
41,1,RDL-3000-120,ALL,set maxtxpower  10,,,PASS,NEXT,,
42,2,RDL-3000-120,ALL,set maxtxpower ,maxtxpower = 10,,PASS,,,
43,1,RDL-3000-121,ALL,set maxtxpower 5,,,PASS,,,
44,2,RDL-3000-121,ALL,set maxtxpower,maxtxpower = 5,,PASS,,,
45,1,RDL-3000-122,ALL,set maxtxpower -10,,,PASS,,,
46,1,RDL-3000-123,ALL,set maxtxpower  0,,,PASS,,,
47,1,RDL-3000-124,ALL,set maxtxpower 25,Error: Bad command,,PASS,,,
48,1,RDL-3000-125,ALL,set maxtxpower  test,Syntax: maxtxpower,,PASS,,,
49,1,RDL-3000-126,SC,set maxdst  0,,,PASS,,,
50,1,RDL-3000-127,SC,set maxdst  100,,,PASS,,,
51,1,RDL-3000-128,SC,set maxdst  test,Syntax: maxdst,,PASS,,,
52,2,RDL-3000-128,SC,set maxdst -1,Syntax: maxdst,,PASS,,,
53,3,RDL-3000-128,SC,set maxdst 101,Syntax: maxdst,,PASS,,,
54,4,RDL-3000-128,SC,set maxdst,maxdst       = 100 # 100 km / 62 miles,,PASS,,,
55,5,RDL-3000-128,SC,set maxdst 88,,,PASS,,,
56,6,RDL-3000-128,SC,set maxdst,maxdst       = 88 # 88 km / 55 miles,,PASS,,,
57,1,RDL-3000-129,SC,set dfsaction none,,,PASS,NEXT,,
