TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
58,1,RDL-3000-43,ALL,set telnet testing,^Syntax: telnet,,PASS,,,
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
2,1,RDL-3000-218,SC,set fixframe off,,,PASS,NEXT,,
2,1,RDL-3000-218,SC,save config,,,PASS,NEXT,,
2,1,RDL-3000-218,SC,set fixframe,fixframe     = Off,,PASS,NEXT,,
2,1,RDL-3000-218,SC,set chsize 3.5,,,PASS,NEXT,,
2,1,RDL-3000-218,SC,save config,,,PASS,NEXT,,
3,2,RDL-3000-218,SC,set chsize,chsize       = 3.5 MHz,,PASS,,,
4,1,RDL-3000-0,SC,save config,,,PASS,,,
5,4,RDL-3000-218,SC,new link,link ID:,link_id2_2,PASS,NEXT,,
6,5,RDL-3000-218,SC,set idname $link_id2_2 TEST_CS3_5,idname       = TEST_CS3_5,,PASS,,,
7,6,RDL-3000-218,SC,set peermac $link_id2_2 00:09:02:01:02:33,peermac      = 00:09:02:01:02:33,,PASS,,,
8,7,RDL-3000-218,SC,set adaptmod $link_id2_2 off,adaptmod     = off,,PASS,,,
9,8,RDL-3000-218,SC,set linkmode $link_id2_2 mimoab,linkmode     = mimoab,,PASS,,,
10,9,RDL-3000-218,SC,enable $link_id2_2,Warning: ID already enabled,,PASS,NEXT,,
11,1,RDL-3000-857,SC,get lactive $link_id2_2,lactive = No,,PASS,,,
12,1,RDL-3000-218,SC,disable $link_id2_2,,,PASS,NEXT,,
13,1,RDL-3000-218,SC,enable $link_id2_2,Warning: ID already enabled,,PASS,NEXT,,
14,1,RDL-3000-218,SC,get lssip $link_id2_2,lssip        =,,PASS,NEXT,,
15,10,RDL-3000-218,SC,set dlrate $link_id2_2 4,(4.2 Mbps),,PASS,,chsize=3.5,
16,11,RDL-3000-218,SC,set ulrate $link_id2_2 3,(3.2 Mbps),,PASS,,chsize=3.5,
17,12,RDL-3000-218,SC,set ldlpir $link_id2_2 43207,ldlpir       = 43207,,PASS,,,
18,13,RDL-3000-218,SC,set lulpir $link_id2_2 41200,lulpir       = 41200,,PASS,,,
19,11,RDL-3000-186,SC,get ldlblk $link_id2_2,,,PASS,,,
20,11,RDL-3000-186,SC,get ldlbr $link_id2_2,,,PASS,,,
21,11,RDL-3000-186,SC,get ldldblk $link_id2_2,,,PASS,,,
22,11,RDL-3000-186,SC,get ldllfr $link_id2_2,,,PASS,,,
23,11,RDL-3000-186,SC,get ldlrblk $link_id2_2,,,PASS,,,
24,11,RDL-3000-186,SC,get ldlrssi $link_id2_2,,,PASS,,,
25,11,RDL-3000-186,SC,get ldlrssi2 $link_id2_2,,,PASS,,,
26,11,RDL-3000-186,SC,get ldlsnr $link_id2_2,,,PASS,,,
27,11,RDL-3000-186,SC,get ldlsnr2 $link_id2_2,,,PASS,,,
28,11,RDL-3000-186,SC,get llostc $link_id2_2,,,PASS,,,
29,11,RDL-3000-186,SC,get lrcon $link_id2_2,,,PASS,,,
30,11,RDL-3000-186,SC,get lrsrv $link_id2_2,,,PASS,,,
31,11,RDL-3000-186,SC,get lscode $link_id2_2,,,PASS,,,
32,11,RDL-3000-186,SC,get lulblk $link_id2_2,,,PASS,,,
33,11,RDL-3000-186,SC,get lulbr $link_id2_2,,,PASS,,,
34,11,RDL-3000-186,SC,get luldblk $link_id2_2,,,PASS,,,
35,11,RDL-3000-186,SC,get lullfr $link_id2_2,,,PASS,,,
36,11,RDL-3000-186,SC,get lulrblk $link_id2_2,,,PASS,,,
37,11,RDL-3000-186,SC,get lulrssi $link_id2_2,,,PASS,,,
38,11,RDL-3000-186,SC,get lulrssi2 $link_id2_2,,,PASS,,,
39,11,RDL-3000-186,SC,get lulsnr $link_id2_2,,,PASS,,,
40,11,RDL-3000-186,SC,get lulsnr2 $link_id2_2,,,PASS,,,
41,11,RDL-3000-186,SC,get luptime $link_id2_2,,,PASS,,,
42,14,RDL-3000-218,SC,show links $link_id2_2,Down,,PASS,,,
43,1,RDL-3000-219,SC,set idname $link_id2_2 MODIFIED_CS3_5,idname       = MODIFIED_CS3_5,,PASS,,,
44,1,RDL-3000-220,SC,show links $link_id2_2,Down,,PASS,,,
45,1,RDL-3000-221,SC,set peermac $link_id2_2 00:09:02:01:02:33,peermac      = 00:09:02:01:02:33,,PASS,,,
46,1,RDL-3000-222,SC,set linkmode $link_id2_2 mimoab,linkmode     = mimoab,,PASS,,,
47,1,RDL-3000-223,SC,set dlrate $link_id2_2 15,(18.9 Mbps),,PASS,,chsize=3.5,
48,1,RDL-3000-224,SC,set dlrate $link_id2_2 14,(16.8 Mbps),,PASS,,chsize=3.5,
49,1,RDL-3000-225,SC,set dlrate $link_id2_2 13,(12.6 Mbps),,PASS,,chsize=3.5,
