TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
1,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
2,1,RDL-3000-0,SC,save config,,,PASS,,,
3,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
4,1,RDL-3000-215,SC,new link,link ID: ?,link_id1,PASS,NEXT,,
5,1,RDL-3000-215,SC,set idname $link_id1 TESTING,idname       = TESTING,,PASS,,,
6,1,RDL-3000-215,SC,set peermac $link_id1 00:09:02:01:02:03,peermac      = 00:09:02:01:02:03,,PASS,,,
7,1,RDL-3000-215,SC,set linkmode $link_id1 mimoab,linkmode     = mimoab,,PASS,NEXT,,
8,1,RDL-3000-215,SC,enable $link_id1,ID enabled,,PASS,,,
9,1,RDL-3000-216,SC,show links $link_id1,Down,,PASS,,,
10,1,RDL-3000-217,SC,del id $link_id1,,,PASS,NEXT,,
11,1,RDL-3000-217,SC,show links $link_id1,Invalid ID status,,PASS,,,
12,1,RDL-3000-218,SC,set chsize 0.875,,,PASS,NEXT,,
13,1,RDL-3000-218,SC,set chsize,chsize       = 0.875 MHz,,PASS,,,
14,1,RDL-3000-218,SC,save config,,,PASS,,,
15,1,RDL-3000-218,SC,new link,link ID: ?,link_id2_2,PASS,NEXT,,
16,1,RDL-3000-218,SC,set idname $link_id2_2 TEST_CS0_875,idname       = TEST_CS0_875,,PASS,,,
17,1,RDL-3000-218,SC,set peermac $link_id2_2 00:09:02:01:02:33,peermac      = 00:09:02:01:02:33,,PASS,,,
18,1,RDL-3000-218,SC,set adaptmod $link_id2_2 off,adaptmod     = off,,PASS,,,
19,1,RDL-3000-218,SC,set linkmode $link_id2_2 mimoab,linkmode     = mimoab,,PASS,,,
20,1,RDL-3000-218,SC,enable $link_id2_2,ID enabled,,PASS,NEXT,,
21,1,RDL-3000-218,SC,set dlrate $link_id2_2 4,(1.6 Mbps),,PASS,,chsize=0.875,
22,1,RDL-3000-218,SC,set ulrate $link_id2_2 3,(1.1 Mbps),,PASS,,chsize=0.875,
23,1,RDL-3000-218,SC,set ldlpir $link_id2_2 43207,ldlpir       = 43207,,PASS,,chsize=0.875,
24,1,RDL-3000-218,SC,set lulpir $link_id2_2 41200,lulpir       = 41200,,PASS,,chsize=0.875,
25,1,RDL-3000-218,SC,show links $link_id2_2,Down,,PASS,,chsize=0.875,
26,1,RDL-3000-219,SC,set idname $link_id2_2 MODIFIED_CS0_875,idname       = MODIFIED_CS0_875,,PASS,,chsize=0.875,
27,1,RDL-3000-220,SC,show links $link_id2_2,Down,,PASS,,chsize=0.875,
28,1,RDL-3000-221,SC,set peermac $link_id2_2 00:09:02:01:02:33,peermac      = 00:09:02:01:02:33,,PASS,,chsize=0.875,
29,1,RDL-3000-222,SC,set linkmode $link_id2_2 mimoab,linkmode     = mimoab,,PASS,,chsize=0.875,
30,1,RDL-3000-223,SC,set dlrate $link_id2_2 23,(7.4 Mbps),,PASS,,chsize=0.875,
31,1,RDL-3000-223,SC,set dlrate $link_id2_2 22,(7 Mbps) ,,PASS,,chsize=0.875,
