TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
818,1,RDL-3000-818,SC,set chsize 10,,,PASS,NEXT,,
818,3,RDL-3000-818,SC,save config,,,PASS,,,
818,2,RDL-3000-818,SC,set chsize,chsize       = 10 MHz,,PASS,,,
818,4,RDL-3000-818,SC,new link,link ID:,link_id3_2,PASS,NEXT,,
818,5,RDL-3000-818,SC,set idname $link_id3_2 TEST_CS7,idname       = TEST_CS7,,PASS,,,
818,6,RDL-3000-818,SC,set peermac $link_id3_2 00:09:02:01:02:04,peermac      = 00:09:02:01:02:04,,PASS,,,
818,7,RDL-3000-818,SC,set adaptmod $link_id3_2 off,adaptmod     = off,,PASS,,,
818,8,RDL-3000-818,SC,set linkmode $link_id3_2 mimoab,linkmode     = mimoab,,PASS,,,
818,9,RDL-3000-818,SC,enable $link_id3_2,Warning: ID already enabled,,PASS,NEXT,,
818,10,RDL-3000-818,SC,set dlrate $link_id3_2 4,(13.3 Mbps),,PASS,,chsize=10,
818,11,RDL-3000-818,SC,set ulrate $link_id3_2 3,(10 Mbps),,PASS,,chsize=10,
818,12,RDL-3000-818,SC,set ldlpir $link_id3_2 43207,ldlpir       = 43207,,PASS,,,
818,13,RDL-3000-818,SC,set lulpir $link_id3_2 41200,lulpir       = 41200,,PASS,,,
818,14,RDL-3000-818,SC,show links $link_id3_2,Down,,PASS,,,
819,1,RDL-3000-819,SC,set idname $link_id3_2 MODIFIED_CS7,Operation not allowed! Please check log message for details,,PASS,,,
819,2,RDL-3000-819,SC,set idname $link_id3_2 MODIFIED__CS7,idname       = MODIFIED__CS7,,PASS,,,
820,1,RDL-3000-820,SC,show links $link_id3_2,Down,,PASS,,,
821,1,RDL-3000-821,SC,set peermac $link_id3_2 00:09:02:01:02:44,peermac      = 00:09:02:01:02:44,,PASS,,,
822,1,RDL-3000-822,SC,set dlrate $link_id3_2 15,(60 Mbps),,PASS,,chsize=10,
823,1,RDL-3000-823,SC,set ulrate $link_id3_2 15,(60 Mbps),,PASS,,chsize=10,
824,1,RDL-3000-824,SC,set dlrate $link_id3_2 14,(53.3 Mbps),,PASS,,chsize=10,
825,1,RDL-3000-825,SC,set dlrate $link_id3_2 13,(40 Mbps),,PASS,,chsize=10,
826,1,RDL-3000-826,SC,set dlrate $link_id3_2 12,(26.7 Mbps),,PASS,,chsize=10,
827,1,RDL-3000-827,SC,set dlrate $link_id3_2 11,(20 Mbps),,PASS,,chsize=10,
828,1,RDL-3000-828,SC,set dlrate $link_id3_2 10,(13.3 Mbps),,PASS,,chsize=10,
829,1,RDL-3000-829,SC,set dlrate $link_id3_2 9,Error: Invalid value,,PASS,,chsize=10,
830,1,RDL-3000-830,SC,set dlrate $link_id3_2 8,(6.7 Mbps),,PASS,,chsize=10,
831,1,RDL-3000-831,SC,set dlrate $link_id3_2 7,(30 Mbps),,PASS,,chsize=10,
832,1,RDL-3000-832,SC,set dlrate $link_id3_2 6,(26.7 Mbps),,PASS,,chsize=10,
833,1,RDL-3000-833,SC,set dlrate $link_id3_2 5,(20 Mbps),,PASS,,chsize=10,
834,1,RDL-3000-834,SC,set dlrate $link_id3_2 4,(13.3 Mbps),,PASS,,chsize=10,
835,1,RDL-3000-835,SC,set dlrate $link_id3_2 3,(10 Mbps),,PASS,,chsize=10,
836,1,RDL-3000-836,SC,set dlrate $link_id3_2 2,(6.7 Mbps),,PASS,,chsize=10,
837,1,RDL-3000-837,SC,set dlrate $link_id3_2 1,Error: Invalid value,,PASS,,chsize=10,
838,1,RDL-3000-838,SC,set dlrate $link_id3_2 0,(3.3 Mbps),,PASS,,chsize=10,
839,1,RDL-3000-839,SC,set dlrate $link_id3_2 15,(60 Mbps),,PASS,,chsize=10,
840,1,RDL-3000-840,SC,set ulrate $link_id3_2 14,(53.3 Mbps),,PASS,,chsize=10,
841,1,RDL-3000-841,SC,set ulrate $link_id3_2 13,(40 Mbps),,PASS,,chsize=10,
842,1,RDL-3000-842,SC,set ulrate $link_id3_2 12,(26.7 Mbps),,PASS,,chsize=10,
843,1,RDL-3000-843,SC,set ulrate $link_id3_2 11,(20 Mbps),,PASS,,chsize=10,
844,1,RDL-3000-844,SC,set ulrate $link_id3_2 10,(13.3 Mbps),,PASS,,chsize=10,
845,1,RDL-3000-845,SC,set ulrate $link_id3_2 9,Error: Invalid value,,PASS,,chsize=10,
846,1,RDL-3000-846,SC,set ulrate $link_id3_2 8,(6.7 Mbps),,PASS,,chsize=10,
847,1,RDL-3000-847,SC,set ulrate $link_id3_2 7,(30 Mbps),,PASS,,chsize=10,
848,1,RDL-3000-848,SC,set ulrate $link_id3_2 6,(26.7 Mbps),,PASS,,chsize=10,
849,1,RDL-3000-849,SC,set ulrate $link_id3_2 5,(20 Mbps),,PASS,,chsize=10,
850,1,RDL-3000-850,SC,set ulrate $link_id3_2 4,(13.3 Mbps),,PASS,,chsize=10,
851,1,RDL-3000-851,SC,set ulrate $link_id3_2 3,(10 Mbps),,PASS,,chsize=10,
852,1,RDL-3000-852,SC,set ulrate $link_id3_2 2,(6.7 Mbps),,PASS,,chsize=10,
853,1,RDL-3000-853,SC,set ulrate $link_id3_2 1,Error: Invalid value,,PASS,,chsize=10,
854,1,RDL-3000-854,SC,set ulrate $link_id3_2 0,(3.3 Mbps),,PASS,,chsize=10,
855,1,RDL-3000-855,SC,set ulrate $link_id3_2 14,(53.3 Mbps),,PASS,,chsize=10,
856,1,RDL-3000-856,SC,set linkmode $link_id3_2 sisomimoa,linkmode     = sisomimoa,,PASS,,,
857,1,RDL-3000-857,SC,set dlrate $link_id3_2 15,Error: Invalid value,,PASS,,chsize=10,
858,1,RDL-3000-858,SC,set ulrate $link_id3_2 15,Error: Invalid value,,PASS,,chsize=10,
859,1,RDL-3000-859,SC,set dlrate $link_id3_2 14,Error: Invalid value,,PASS,,chsize=10,
860,1,RDL-3000-860,SC,set dlrate $link_id3_2 13,Error: Invalid value,,PASS,,chsize=10,
861,1,RDL-3000-861,SC,set dlrate $link_id3_2 12,Error: Invalid value,,PASS,,chsize=10,
862,1,RDL-3000-862,SC,set dlrate $link_id3_2 11,Error: Invalid value,,PASS,,chsize=10,
863,1,RDL-3000-863,SC,set dlrate $link_id3_2 10,Error: Invalid value,,PASS,,chsize=10,
864,1,RDL-3000-864,SC,set dlrate $link_id3_2 9,Error: Invalid value,,PASS,,chsize=10,
865,1,RDL-3000-865,SC,set dlrate $link_id3_2 8,Error: Invalid value,,PASS,,chsize=10,
866,1,RDL-3000-866,SC,set dlrate $link_id3_2 7,(30 Mbps),,PASS,,chsize=10,
867,1,RDL-3000-867,SC,set dlrate $link_id3_2 6,(26.7 Mbps),,PASS,,chsize=10,
868,1,RDL-3000-868,SC,set dlrate $link_id3_2 5,(20 Mbps),,PASS,,chsize=10,
869,1,RDL-3000-869,SC,set dlrate $link_id3_2 4,(13.3 Mbps),,PASS,,chsize=10,
870,1,RDL-3000-870,SC,set dlrate $link_id3_2 3,(10 Mbps),,PASS,,chsize=10,
871,1,RDL-3000-871,SC,set dlrate $link_id3_2 2,(6.7 Mbps),,PASS,,chsize=10,
872,1,RDL-3000-872,SC,set dlrate $link_id3_2 1,Error: Invalid value,,PASS,,chsize=10,
873,1,RDL-3000-873,SC,set dlrate $link_id3_2 0,(3.3 Mbps),,PASS,,chsize=10,
874,1,RDL-3000-874,SC,set dlrate $link_id3_2 15,Error: Invalid value,,PASS,,chsize=10,
875,1,RDL-3000-875,SC,set ulrate $link_id3_2 14,Error: Invalid value,,PASS,,chsize=10,
876,1,RDL-3000-876,SC,set ulrate $link_id3_2 13,Error: Invalid value,,PASS,,chsize=10,
877,1,RDL-3000-877,SC,set ulrate $link_id3_2 12,Error: Invalid value,,PASS,,chsize=10,
878,1,RDL-3000-878,SC,set ulrate $link_id3_2 11,Error: Invalid value,,PASS,,chsize=10,
879,1,RDL-3000-879,SC,set ulrate $link_id3_2 10,Error: Invalid value,,PASS,,chsize=10,
