TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,chsize=0.875,
1,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,chsize=0.875,
2,1,RDL-3000-0,SC,save config,,,PASS,,chsize=0.875,
3,1,RDL-3000-214,SC,set cp 1,cp           =,,PASS,,chsize=0.875, 
4,2,RDL-3000-214,SC,set cp 1,,,PASS,,chsize=0.875,
5,3,RDL-3000-214,SC,save config,,,PASS,,chsize=0.875,
6,1,RDL-3000-218,SC,set chsize 0.875,,,PASS,NEXT,chsize=0.875,
7,1,RDL-3000-218,SC,save config,,,PASS,,chsize=0.875,
8,1,RDL-3000-218,SC,new link,link ID: ?,link_id2_2,PASS,NEXT,chsize=0.875,
9,1,RDL-3000-218,SC,set idname $link_id2_2 TEST_CS0_875,idname       = TEST_CS0_875,,PASS,,chsize=0.875,
10,1,RDL-3000-218,SC,set peermac $link_id2_2 00:09:02:01:02:33,peermac      = 00:09:02:01:02:33,,PASS,,chsize=0.875,
11,1,RDL-3000-218,SC,set adaptmod $link_id2_2 off,adaptmod     = off,,PASS,,chsize=0.875,
12,1,RDL-3000-218,SC,set linkmode $link_id2_2 mimoab,linkmode     = mimoab,,PASS,,chsize=0.875,
13,1,RDL-3000-218,SC,enable $link_id2_2,ID enabled,,PASS,NEXT,chsize=0.875,
14,1,RDL-3000-218,SC,set ldlpir $link_id2_2 43207,ldlpir       = 43207,,PASS,,chsize=0.875,
15,1,RDL-3000-218,SC,set lulpir $link_id2_2 41200,lulpir       = 41200,,PASS,,chsize=0.875,
16,1,RDL-3000-218,SC,show links $link_id2_2,Down,,PASS,,chsize=0.875,
17,1,RDL-3000-219,SC,set idname $link_id2_2 MODIFIED_CS0_875,idname       = MODIFIED_CS0_875,,PASS,,chsize=0.875,
18,1,RDL-3000-220,SC,show links $link_id2_2,Down,,PASS,,chsize=0.875,
19,1,RDL-3000-221,SC,set peermac $link_id2_2 00:09:02:01:02:33,peermac      = 00:09:02:01:02:33,,PASS,,chsize=0.875,
20,1,RDL-3000-222,SC,set linkmode $link_id2_2 mimoab,linkmode     = mimoab,,PASS,,chsize=0.875,
21,1,RDL-3000-223,SC,set dlrate $link_id2_2 23,(8.1 Mbps),,PASS,,chsize=0.875,
22,1,RDL-3000-223,SC,set dlrate $link_id2_2 22,(7.7 Mbps),,PASS,,chsize=0.875,
23,1,RDL-3000-223,SC,set dlrate $link_id2_2 21,(7 Mbps),,PASS,,chsize=0.875,
24,1,RDL-3000-223,SC,set dlrate $link_id2_2 20,(6.2 Mbps),,PASS,,chsize=0.875,
25,1,RDL-3000-223,SC,set dlrate $link_id2_2 19,(5.8 Mbps),,PASS,,chsize=0.875,
26,1,RDL-3000-223,SC,set dlrate $link_id2_2 18,(5.2 Mbps),,PASS,,chsize=0.875,
27,1,RDL-3000-223,SC,set dlrate $link_id2_2 17,(4.6 Mbps),,PASS,,chsize=0.875,
28,1,RDL-3000-223,SC,set dlrate $link_id2_2 16,(3.5 Mbps),,PASS,,chsize=0.875,
29,1,RDL-3000-223,SC,set dlrate $link_id2_2 15,(2.3 Mbps),,PASS,,chsize=0.875,
30,1,RDL-3000-223,SC,set dlrate $link_id2_2 14,(1.7 Mbps),,PASS,,chsize=0.875,
31,1,RDL-3000-224,SC,set dlrate $link_id2_2 13,(1.1 Mbps),,PASS,,chsize=0.875,
32,1,RDL-3000-225,SC,set dlrate $link_id2_2 12,(0.5 Mbps),,PASS,,chsize=0.875,
33,1,RDL-3000-226,SC,set dlrate $link_id2_2 11,(4 Mbps),,PASS,,chsize=0.875,
34,1,RDL-3000-227,SC,set dlrate $link_id2_2 10,(3.8 Mbps),,PASS,,chsize=0.875,
35,1,RDL-3000-228,SC,set dlrate $link_id2_2 9,(3.5 Mbps),,PASS,,chsize=0.875,
36,1,RDL-3000-229,SC,set dlrate $link_id2_2 8,(3.1 Mbps),,PASS,,chsize=0.875,
37,1,RDL-3000-230,SC,set dlrate $link_id2_2 7,(2.9 Mbps),,PASS,,chsize=0.875,
38,1,RDL-3000-231,SC,set dlrate $link_id2_2 6,(2.6 Mbps),,PASS,,chsize=0.875,
