TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
0,1,RDL-3000-0,SC,save config,,,PASS,,,
0,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,,
0,1,RDL-3000-0,SS,save config,,,PASS,,,
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
190,1,RDL-3000-190,SS,set bsmac 0,Invalid value for MAC address,,PASS,,,
191,1,RDL-3000-191,SS,set bsmac 000000000000,,,PASS,,,
192,1,RDL-3000-192,SS,set bsmac 00:00:00:00:00:00,,,PASS,,,
193,1,RDL-3000-193,SS,set bsmac 00-00-00-00-00-00,,,PASS,,,
194,1,RDL-3000-194,SS,set bsmac 00-00-00-00-00-00-00,Error: String too long,,PASS,,,
195,1,RDL-3000-195,ALL,set encmode 0,,,PASS,NEXT,,
195,2,RDL-3000-195,ALL,set encmode,encmode      = None,,PASS,,,
196,1,RDL-3000-196,ALL,set encmode 3,,,PASS,NEXT,,
196,2,RDL-3000-196,ALL,set encmode,encmode      = AES 256,,PASS,,,
197,1,RDL-3000-197,ALL,set encmode 2,,,PASS,NEXT,,
197,2,RDL-3000-197,ALL,set encmode,encmode      = AES 192,,PASS,,,
198,1,RDL-3000-198,ALL,set encmode 1,,,PASS,NEXT,,
198,2,RDL-3000-198,ALL,set encmode,encmode      = AES 128,,PASS,,,
199,1,RDL-3000-199,ALL,set encmode 4,Syntax: encmode,,PASS,,,
200,1,RDL-3000-200,ALL,set fastreg off,,,PASS,NEXT,,
201,1,RDL-3000-201,ALL,set x509auth on,,,PASS,NEXT,,
201,2,RDL-3000-201,ALL,set x509auth,x509auth     = On,,PASS,,,
201,3,RDL-3000-201,ALL,save config,,,PASS,,,
202,1,RDL-3000-202,ALL,set x509auth off,,,PASS,NEXT,,
202,2,RDL-3000-202,ALL,set x509auth,x509auth     = Off,,PASS,,,
203,1,RDL-3000-203,ALL,set x509auth 1,,,PASS,,,
203,2,RDL-3000-203,ALL,save config,,,PASS,,,
204,1,RDL-3000-204,ALL,set x509auth 0,,,PASS,,,
204,2,RDL-3000-204,ALL,save config,,,PASS,,,
205,1,RDL-3000-205,ALL,set x509auth invalid_opt,Syntax: x509auth ,,PASS,,,
206,1,RDL-3000-206,ALL,set fastreg off,,,PASS,NEXT,,
206,2,RDL-3000-206,ALL,set fastreg,fastreg      = Off,,PASS,,,
207,1,RDL-3000-207,ALL,set fastreg on,,,PASS,NEXT,,
207,2,RDL-3000-207,ALL,set fastreg,fastreg      = On,,PASS,,,
208,1,RDL-3000-208,ALL,set fastreg  0,Syntax: fastreg,,PASS,,,
209,1,RDL-3000-209,ALL,set fastreg onnnnnn,Syntax: fastreg.*,,PASS,,,
210,1,RDL-3000-210,ALL,set x509auth off,,,PASS,NEXT,,
211,1,RDL-3000-211,ALL,set fastreg off,,,PASS,NEXT,,
212,1,RDL-3000-212,ALL,set encmode 2,,,PASS,NEXT,,
212,2,RDL-3000-212,ALL,set x509auth on,,,PASS,NEXT,,
212,3,RDL-3000-212,ALL,save config,,,PASS,,,
213,1,RDL-3000-213,ALL,set fastreg on,Fast Registration Mode setting cannot be applied! Check the status of the components.,,PASS,NEXT,,
214,1,RDL-3000-214,ALL,set x509auth off,,,PASS,,,
215,1,RDL-3000-215,ALL,set fastreg on,,,PASS,NEXT,,
216,1,RDL-3000-216,ALL,save config,,,PASS,,,
217,1,RDL-3000-217,ALL,set pskey testing_data,Preshared secret length needs to be between  32 and 64,,PASS,,encmode      = AES 128,
218,1,RDL-3000-218,ALL,set pskey hello_testing_data_not_good_secret_key,Preshared secret needs to be hex,,PASS,,encmode      = AES 128,
219,1,RDL-3000-219,ALL,set pskey 123456789012345678901234567890AB[CTRL+J]123456789ABCDEFABCDFABD,Keys entered different,,PASS,NEXT,encmode      = AES 128,
220,1,RDL-3000-220,ALL,set pskey 123456789012345678901234567890AB[CTRL+J]123456789ABCDEFABCDFABD,Keys entered different,,PASS,NEXT,encmode      = AES 128,
221,1,RDL-3000-221,ALL,set pskey 123456789012345678901234567890AB[CTRL+J]123456789012345678901234567890AB,123456789012345678901234567890AB,,PASS,NEXT,encmode      = AES 128,
222,1,RDL-3000-222,SC,set bsmac 0,Cannot modify peer BSMAC in Master mode,,PASS,,,
