TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
1,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
2,1,RDL-3000-0,SC,save config,,,PASS,,chsize=3.5,
3,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,chsize=3.5,
4,1,RDL-3000-0,SS,save config,,,PASS,,chsize=3.5,
5,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,chsize=3.5,
6,1,RDL-3000-214,SC,set cp,cp           =,,PASS,,, 
7,2,RDL-3000-214,SC,set cp 1,,,PASS,,,
8,3,RDL-3000-214,SC,save config,,,PASS,,,
9,4,RDL-3000-214,SC,set cp,cp           = 1,,PASS,,,
10,1,RDL-3000-400,SC,new group,group ID: ?,group_id1,PASS,NEXT,chsize=3.5,
11,1,RDL-3000-400,SC,show groups $group_id1,Group,,PASS,,chsize=3.5,
12,1,RDL-3000-400,SC,set idname $group_id1 NEW_GROUP ,idname       = NEW_GROUP,,PASS,,chsize=3.5,
23,1,RDL-3000-401,SC,set grpvid $group_id1 100,grpvid       = 100,,PASS,,chsize=3.5,
13,1,RDL-3000-400,SC,set grpviden $group_id1 on,grpviden     = on,,PASS,,chsize=3.5,
14,1,RDL-3000-400,SC,set groupmode $group_id1 mimoab,groupmode.*= mimoab,,PASS,,chsize=3.5,
15,1,RDL-3000-400,SC,enable $group_id1,ID enabled,,PASS,,chsize=3.5,
16,1,RDL-3000-400,SC,show groups $group_id1,NEW_GROUP     Group,,PASS,,chsize=3.5,
17,1,RDL-3000-400,SC,del id $group_id1,,,PASS,NEXT,chsize=3.5,
18,1,RDL-3000-400,SC,show groups $group_id1,Invalid ID status,,PASS,,chsize=3.5,
19,1,RDL-3000-401,SC,new group,group ID: ?,group_id2,PASS,,chsize=3.5,
20,1,RDL-3000-401,SC,set idname $group_id2 OTHER_GROUP ,idname       = OTHER_GROUP,,PASS,,chsize=3.5,
21,1,RDL-3000-401,SC,set groupmode $group_id2 mimoab,groupmode    = mimoab,,PASS,,chsize=3.5,
23,1,RDL-3000-401,SC,set grpvid $group_id2 200,grpvid       = 200,,PASS,,chsize=3.5,
22,1,RDL-3000-401,SC,set grpviden $group_id2 on,grpviden     = on,,PASS,,chsize=3.5,
24,1,RDL-3000-401,SC,set grppri $group_id2 2,grppri       = 2,,PASS,,chsize=3.5,
25,1,RDL-3000-401,SC,set grpcir $group_id2 50,grpcir       = 50,,PASS,,chsize=3.5,
