TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 R4_SC_default,,,PASS,,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
4,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
5,1,RDL-3000-190,SS,set bsmac 0,Invalid value for MAC address,,PASS,,,
6,1,RDL-3000-191,SS,set bsmac 000000000000,,,PASS,,,
7,1,RDL-3000-192,SS,set bsmac 00:00:00:00:00:00,,,PASS,,,
8,1,RDL-3000-193,SS,set bsmac 00-00-00-00-00-00,,,PASS,,,
9,1,RDL-3000-194,SS,set bsmac 00-00-00-00-00-00-00,Error: String too long,,PASS,,,
10,1,RDL-3000-195,ALL,set encmode 0,,,PASS,NEXT,,
22,3,RDL-3000-201,ALL,save config,,,PASS,,,
11,2,RDL-3000-195,ALL,set encmode,encmode      = None,,PASS,,,
12,1,RDL-3000-196,ALL,set encmode 3,,,PASS,NEXT,,
22,3,RDL-3000-201,ALL,save config,,,PASS,,,
13,2,RDL-3000-196,ALL,set encmode,encmode      = AES 256,,PASS,,,
14,1,RDL-3000-197,ALL,set encmode 2,,,PASS,NEXT,,
22,3,RDL-3000-201,ALL,save config,,,PASS,,,
15,2,RDL-3000-197,ALL,set encmode,encmode      = AES 192,,PASS,,,
16,1,RDL-3000-198,ALL,set encmode 1,,,PASS,NEXT,,
22,3,RDL-3000-201,ALL,save config,,,PASS,,,
17,2,RDL-3000-198,ALL,set encmode,encmode      = AES 128,,PASS,,,
18,1,RDL-3000-199,ALL,set encmode 4,^Syntax: encmode,,PASS,,,
19,1,RDL-3000-200,ALL,set fastreg off,,,PASS,NEXT,,
20,1,RDL-3000-201,ALL,set x509auth on,,,PASS,NEXT,,
21,2,RDL-3000-201,ALL,set x509auth,x509auth     = On,,PASS,,,
22,3,RDL-3000-201,ALL,save config,,,PASS,,,
23,1,RDL-3000-202,ALL,set x509auth off,,,PASS,NEXT,,
24,2,RDL-3000-202,ALL,set x509auth,x509auth     = Off,,PASS,,,
25,1,RDL-3000-203,ALL,set x509auth 1,,,PASS,,,
26,2,RDL-3000-203,ALL,save config,,,PASS,,,
27,1,RDL-3000-204,ALL,set x509auth 0,,,PASS,,,
28,2,RDL-3000-204,ALL,save config,,,PASS,,,
29,1,RDL-3000-205,ALL,set x509auth invalid_opt,Syntax: x509auth ,,PASS,,,
30,1,RDL-3000-206,ALL,set fastreg off,,,PASS,NEXT,,
31,2,RDL-3000-206,ALL,set fastreg,fastreg      = Off,,PASS,,,
32,1,RDL-3000-207,ALL,set fastreg on,,,PASS,NEXT,,
33,2,RDL-3000-207,ALL,set fastreg,fastreg      = On,,PASS,,,
34,1,RDL-3000-208,ALL,set fastreg  0,^Syntax: fastreg,,PASS,,,
35,1,RDL-3000-209,ALL,set fastreg onnnnnn,^Syntax: fastreg.*,,PASS,,,
36,1,RDL-3000-210,ALL,set x509auth off,,,PASS,NEXT,,
37,1,RDL-3000-211,ALL,set fastreg off,,,PASS,NEXT,,
38,1,RDL-3000-212,ALL,set encmode 2,,,PASS,NEXT,,
39,2,RDL-3000-212,ALL,set x509auth on,,,PASS,NEXT,,
40,3,RDL-3000-212,ALL,save config,,,PASS,,,
41,1,RDL-3000-213,ALL,set fastreg on,Fast Registration Mode setting cannot be applied! Check the status of the components.,,PASS,NEXT,,
42,1,RDL-3000-214,ALL,set x509auth off,,,PASS,,,
43,1,RDL-3000-215,ALL,set fastreg on,,,PASS,NEXT,,
44,1,RDL-3000-216,ALL,save config,,,PASS,,,
45,1,RDL-3000-217,ALL,set pskey testing_data,Preshared secret length needs to be between  32 and 64,,PASS,,encmode      = AES 128,
46,1,RDL-3000-218,ALL,set pskey hello_testing_data_not_good_secret_key,Preshared secret needs to be hex,,PASS,,encmode      = AES 128,
47,1,RDL-3000-219,ALL,set pskey 123456789012345678901234567890AB[CTRL+J]123456789ABCDEFABCDFABD,Preshared secret needs to be hex (0 to F),,PASS,NEXT,encmode      = AES 128,
48,1,RDL-3000-220,ALL,set pskey 123456789012345678901234567890AB[CTRL+J]123456789ABCDEFABCDFABD,Preshared secret needs to be hex (0 to F),,PASS,NEXT,encmode      = AES 128,
49,1,RDL-3000-221,ALL,set pskey 123456789012345678901234567890AB[CTRL+J]123456789012345678901234567890AB,123456789012345678901234567890AB,,PASS,NEXT,encmode      = AES 128,
50,1,RDL-3000-222,SC,set bsmac 0,Cannot modify peer BSMAC in Master mode,,PASS,,,
