TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 R4_SC_default,,,PASS,,,
0,1,RDL-3000-0,SC,save config,,,PASS,,,
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
490,1,RDL-3000-490,SC,new link,link ID:,link_id10,PASS,NEXT,,
490,2,RDL-3000-490,SC,set idname $link_id10 TEST_LINK,idname       = TEST_LINK,,PASS,,,
490,3,RDL-3000-490,SC,set peermac $link_id10 00:09:02:01:02:03,peermac      = 00:09:02:01:02:03,,PASS,,,
490,4,RDL-3000-490,SC,set linkmode $link_id10 mimoab,linkmode     = mimoab,,PASS,,,
490,5,RDL-3000-490,SC,enable $link_id10,Warning: ID already enabled,,PASS,,,
491,1,RDL-3000-491,SC,new group,group ID: ?,group_id10,PASS,NEXT,,
491,3,RDL-3000-491,SC,set idname $group_id10 TEST_GROUP1 ,idname       = TEST_GROUP,,PASS,,,
20,1,RDL-3000-401,SC,set grpvid $group_id10 100,grpvid       = 100,,PASS,,chsize=3.5,
491,4,RDL-3000-491,SC,set grpviden $group_id10 on,grpviden     = on,,PASS,,,
491,5,RDL-3000-491,SC,set groupmode $group_id10 mimoab,groupmode    = mimoab,,PASS,,,
491,6,RDL-3000-491,SC,enable $group_id10,Warning: ID already enabled,,PASS,,,
500,1,RDL-3000-500,SC,new conn,conn ID:,conn_id1,PASS,NEXT,,
500,2,RDL-3000-500,SC,show conns $conn_id1,Invalid ID type,,PASS,,,
500,3,RDL-3000-500,SC,set idname $conn_id1 NEW_CONN,idname       = NEW_CONN,,PASS,,,
500,4,RDL-3000-500,SC,set conviden $conn_id1 on,conviden     = on,,PASS,NEXT,,
500,5,RDL-3000-500,SC,set conlid $conn_id1 $link_id10,conlid,,PASS,NEXT,,
500,6,RDL-3000-500,SC,set congid $conn_id1 $group_id10,congid,,PASS,NEXT,,
500,7,RDL-3000-500,SC,enable $conn_id1,ID enabled,,PASS,,,
501,1,RDL-3000-501,SC,del id $conn_id1,,,PASS,NEXT,,
501,2,RDL-3000-501,SC,show conns $conn_id1,Invalid ID status,,PASS,,,
502,1,RDL-3000-502,SC,new conn,conn ID:,conn_id2,PASS,,,
502,2,RDL-3000-502,SC,set idname $conn_id2 OTHER_CONN,idname       = OTHER_CONN,,PASS,,,
502,3,RDL-3000-502,SC,set conviden $conn_id2 on,conviden     = on,,PASS,NEXT,,
502,4,RDL-3000-502,SC,set conlid $conn_id2 $link_id10,conlid,,PASS,NEXT,,
502,5,RDL-3000-502,SC,set congid $conn_id2 $group_id10,congid,,PASS,NEXT,,
502,6,RDL-3000-502,SC,enable $conn_id2,ID enabled,,PASS,,,
504,1,RDL-3000-504,SC,set idname $conn_id2 LONG_NAME_LONG_NAME_LONG,Error: String too long,,PASS,,,
505,1,RDL-3000-505,SC,set ulcir $conn_id2 50,ulcir        = 50,,PASS,,,
506,1,RDL-3000-506,SC,set ulcir $conn_id2 50000,ulcir        = 50000,,PASS,,,
507,1,RDL-3000-507,SC,set ulcir $conn_id2 60000,Syntax: ulcir,,PASS,,,
508,1,RDL-3000-508,SC,set dlcir $conn_id2 50,dlcir        = 50,,PASS,,,
509,1,RDL-3000-509,SC,set dlcir $conn_id2 100000,Error: Out of range.,,PASS,,,
510,1,RDL-3000-510,SC,set dlcir $conn_id2 -500,Syntax: dlcir,,PASS,,,
511,1,RDL-3000-511,SC,set ulpir $conn_id2 50,ulpir        = 50,,PASS,,,
512,1,RDL-3000-512,SC,set ulpir $conn_id2 50000,ulpir        = 50000,,PASS,,,
513,1,RDL-3000-513,SC,set ulpir $conn_id2 76000,ulpir        = 76000,,PASS,,,
514,1,RDL-3000-514,SC,set dlpir $conn_id2 50,dlpir        = 50,,PASS,,,
515,1,RDL-3000-515,SC,set dlpir $conn_id2 50000,dlpir        = 50000,,PASS,,,
516,1,RDL-3000-516,SC,set dlpir $conn_id2 67890,dlpir        = 67890,,PASS,,,
517,1,RDL-3000-517,SC,set convid $conn_id2 0,convid       = 0,,PASS,,,
520,1,RDL-3000-520,SC,set conpri $conn_id2 0,conpri       = 0,,PASS,,,
521,1,RDL-3000-521,SC,set conpri $conn_id2 1,conpri       = 1,,PASS,,,
522,1,RDL-3000-522,SC,set conpri $conn_id2 2,conpri       = 2,,PASS,,,
523,1,RDL-3000-523,SC,set conpri $conn_id2 3,conpri       = 3,,PASS,,,
524,1,RDL-3000-524,SC,set conpri $conn_id2 4,conpri       = 4,,PASS,,,
525,1,RDL-3000-525,SC,set conpri $conn_id2 5,conpri       = 5,,PASS,,,
526,1,RDL-3000-526,SC,set conpri $conn_id2 6,conpri       = 6,,PASS,,,
527,1,RDL-3000-527,SC,set conpri $conn_id2 7,conpri       = 7,,PASS,,,
528,1,RDL-3000-528,SC,set conpri $conn_id2 8,Syntax: conpri.*,,PASS,,,
529,1,RDL-3000-529,SC,set convid $conn_id2 4095,convid       = 4095,,PASS,,,
530,1,RDL-3000-530,SC,del id $conn_id2,ERROR: Invalid Value,,PASS,NEXT,,
531,1,RDL-3000-531,SC,new conn,conn ID: ?,conn_id3,PASS,,,
531,2,RDL-3000-531,SC,set idname $conn_id3 INVALID_CONN,idname       = INVALID_CONN,,PASS,,,
20,1,RDL-3000-401,SC,set grpvid $group_id10 400,grpvid       = 400,,PASS,,chsize=3.5,
531,3,RDL-3000-531,SC,set conviden $conn_id3 on,conviden     = on,,PASS,,,
531,4,RDL-3000-531,SC,set conlid $conn_id3 100,conlid       = 100,,PASS,NEXT,,
531,5,RDL-3000-531,SC,set congid $conn_id3 200,congid       = 200,,PASS,NEXT,,
531,6,RDL-3000-531,SC,enable $conn_id3,FAIL: Error found in ID configuration,,PASS,,,
531,7,RDL-3000-531,SC,del id $conn_id3,,,PASS,,,
532,1,RDL-3000-532,SC,new tplink,link Template ID:,link_id20,PASS,NEXT,,
532,2,RDL-3000-532,SC,set ldlpir $link_id20 49500,ldlpir       = 49500,,PASS,,,
532,3,RDL-3000-532,SC,set lulpir $link_id20 49500,lulpir       = 49500,,PASS,,,
532,4,RDL-3000-532,SC,set lstid $link_id20 pvv,lstid        = pvv,,PASS,,,
532,5,RDL-3000-532,SC,set lstidpwd $link_id20 automate,lstidpwd     = ,,PASS,,,
532,6,RDL-3000-532,SC,set linkmode $link_id20 mimoab,linkmode     = mimoab,,PASS,,,
532,7,RDL-3000-532,SC,enable $link_id20,Warning: ID already enabled,,PASS,,,
533,1,RDL-3000-533,SC,new group,group ID:,group_id20,PASS,NEXT,,
533,3,RDL-3000-533,SC,set idname $group_id20 TEST_GROUP2 ,idname       = TEST_GROUP,,PASS,,,
