TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
0,1,RDL-3000-0,SC,save config,,,PASS,,chsize=3.5,
0,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,chsize=3.5,
0,1,RDL-3000-0,SS,save config,,,PASS,,chsize=3.5,
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,chsize=3.5,
400,1,RDL-3000-400,SC,new group,group ID: ?,group_id1,PASS,NEXT,chsize=3.5,
400,1,RDL-3000-400,SC,show groups $group_id1,Group,,PASS,,chsize=3.5,
400,1,RDL-3000-400,SC,set idname $group_id1 NEW_GROUP ,idname       = NEW_GROUP,,PASS,,chsize=3.5,
400,1,RDL-3000-400,SC,set grpviden $group_id1 on,grpviden     = on,,PASS,,chsize=3.5,
400,1,RDL-3000-400,SC,set groupmode $group_id1 mimoab,groupmode.*= mimoab,,PASS,,chsize=3.5,
400,1,RDL-3000-400,SC,enable $group_id1,ID enabled,,PASS,,chsize=3.5,
400,1,RDL-3000-400,SC,show groups $group_id1,NEW_GROUP     Group,,PASS,,chsize=3.5,
400,1,RDL-3000-400,SC,del id $group_id1,,,PASS,NEXT,chsize=3.5,
400,1,RDL-3000-400,SC,show groups $group_id1,Invalid ID status,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,new group,group ID: ?,group_id2,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set idname $group_id2 OTHER_GROUP ,idname       = OTHER_GROUP,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set groupmode $group_id2 mimoab,groupmode    = mimoab,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grpviden $group_id2 on,grpviden     = on,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grpvid $group_id2 1,grpvid       = 1,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grppri $group_id2 2,grppri       = 2,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grpcir $group_id2 50,grpcir       = 50,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grppir $group_id2 50,grppir       = 50,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grpcir $group_id2 100000,Error: Out of range.,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grppir $group_id2 50000,grppir       = 50000,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grpcir $group_id2 49,Syntax: grpcir,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grppir $group_id2 49,Syntax: grppir,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grpcir $group_id2 100001,Syntax: grpcir,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grppir $group_id2 100001,Syntax: grppir,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grpcir $group_id2 650,grpcir       = 650,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set grppir $group_id2 45000,grppir       = 45000,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set bsporten $group_id2 off,bsporten     = off,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,set sstoss $group_id2 off,sstoss       = off,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,enable $group_id2,ID enabled,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,show groups $group_id2,OTHER_GROUP     Group,,PASS,,chsize=3.5,
401,1,RDL-3000-401,SC,del id $group_id2,,,PASS,,chsize=3.5,
402,1,RDL-3000-402,SC,set chsize 3.5,,,PASS,NEXT,chsize=3.5,
402,1,RDL-3000-402,SC,save config,,,PASS,,chsize=3.5,
