TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_default,,,PASS,,,
0,1,RDL-3000-0,SC,save config,,,PASS,,,
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
400,1,RDL-3000-400,SC,new group,group ID:,group_id1,PASS,NEXT,,
400,2,RDL-3000-400,SC,show groups $group_id1,Group,,PASS,,,
400,3,RDL-3000-400,SC,set idname $group_id1 NEW_GROUP ,idname       = NEW_GROUP,,PASS,,,
9,1,RDL-3000-401,SC,set grpvid $group_id1 100,grpvid       = 100,,PASS,,chsize=3.5,
400,4,RDL-3000-400,SC,set grpviden $group_id1 on,grpviden     = on,,PASS,,,
400,5,RDL-3000-400,SC,set groupmode $group_id1 mimoab,groupmode    = mimoab,,PASS,,,
400,6,RDL-3000-400,SC,enable $group_id1,Warning: ID already enabled,,PASS,,,
13,1,RDL-3000-400,SC,get grpoir $group_id1,,,PASS,,chsize=3.5,
400,7,RDL-3000-400,SC,show groups $group_id1,NEW_GROUP     Group,,PASS,,,
400,8,RDL-3000-400,SC,del id $group_id1,,,PASS,NEXT,,
400,9,RDL-3000-400,SC,show groups $group_id1,Invalid ID status,,PASS,,,
401,1,RDL-3000-401,SC,new group,group ID:,group_id2,PASS,,,
401,2,RDL-3000-401,SC,set idname $group_id2 OTHER_GROUP ,idname       = OTHER_GROUP,,PASS,,,
401,3,RDL-3000-401,SC,set groupmode $group_id2 mimoab,groupmode    = mimoab,,PASS,,,
401,4,RDL-3000-401,SC,set grpviden $group_id2 on,grpviden     = on,,PASS,,,
401,5,RDL-3000-401,SC,set grpvid $group_id2 1,grpvid       = 1,,PASS,,,
401,6,RDL-3000-401,SC,set grppri $group_id2 2,grppri       = 2,,PASS,,,
401,7,RDL-3000-401,SC,set grpcir $group_id2 50,grpcir       = 50,,PASS,,,
401,8,RDL-3000-401,SC,set grppir $group_id2 50,grppir       = 50,,PASS,,,
401,9,RDL-3000-401,SC,set grpcir $group_id2 100000,Error: Out of range.,,PASS,,,
401,10,RDL-3000-401,SC,set grppir $group_id2 50000,grppir       = 50000,,PASS,,,
401,11,RDL-3000-401,SC,set grpcir $group_id2 49,Syntax: grpcir,,PASS,,,
401,12,RDL-3000-401,SC,set grppir $group_id2 49,Syntax: grppir,,PASS,,,
401,13,RDL-3000-401,SC,set grpcir $group_id2 100001,Syntax: grpcir,,PASS,,,
401,14,RDL-3000-401,SC,set grppir $group_id2 100001,Syntax: grppir,,PASS,,,
401,15,RDL-3000-401,SC,set grpcir $group_id2 650,grpcir       = 650,,PASS,,,
401,16,RDL-3000-401,SC,set grppir $group_id2 45000,grppir       = 45000,,PASS,,,
401,18,RDL-3000-401,SC,set bsporten $group_id2 off,bsporten     = off,,PASS,,,
401,19,RDL-3000-401,SC,set sstoss $group_id2 off,sstoss       = off,,PASS,,,
401,20,RDL-3000-401,SC,enable $group_id2,Warning: ID already enabled,,PASS,,,
401,21,RDL-3000-401,SC,show groups $group_id2,OTHER_GROUP     Group,,PASS,,,
401,22,RDL-3000-401,SC,del id $group_id2,,,PASS,,,
402,1,RDL-3000-402,SC,set chsize 14,,,PASS,NEXT,,
402,2,RDL-3000-402,SC,save config,,,PASS,,,
403,1,RDL-3000-403,SC,new group,group ID:,group_id3,PASS,,,
