TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
0,1,RDL-3000-0,SC,save config,,,PASS,,,
0,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,,
0,1,RDL-3000-0,SS,save config,,,PASS,,,
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
1,1,RDL-3000-1,ALL,set sysname RDL_Test,,,PASS,NEXT,,
1,2,RDL-3000-1,ALL,set sysname,sysname      = RDL_Test,,PASS,,,
2,1,RDL-3000-2,ALL,set sysname1   failed_name,Error: Bad command,,PASS,,,
3,1,RDL-3000-3,ALL,set syscontact Hello_There,,,PASS,NEXT,,
3,2,RDL-3000-3,ALL,set syscontact,syscontact   = Hello_There,,PASS,,,
4,1,RDL-3000-4,ALL,set syscontacted    failed_test,Error: Bad command,,PASS,,,
5,1,RDL-3000-5,ALL,set sysloc  Markham,,,PASS,NEXT,,
6,2,RDL-3000-6,ALL,set sysloc,sysloc       = Markham,,PASS,,,
7,1,RDL-3000-7,ALL,set sysloc1  failed_test,Error: Bad command,,PASS,,,
8,1,RDL-3000-8,ALL,set sysdescr RDL_3000,,,PASS,NEXT,,
8,2,RDL-3000-8,ALL,set sysdescr,sysdescr     = RDL_3000,,PASS,,,
9,1,RDL-3000-9,ALL,set sysdescribe failed_test,Error: Bad command,,PASS,,,
10,1,RDL-3000-10,ALL,set sntppoll 12,,,PASS,,,
11,1,RDL-3000-11,ALL,set sntppoll -12,Syntax: sntppoll,,PASS,,,
12,1,RDL-3000-12,ALL,set ethmode 100fd,,,PASS,NEXT,,
12,2,RDL-3000-12,ALL,set ethmode,ethmode      = 100Mbps FD,,PASS,,,
13,1,RDL-3000-13,ALL,set ethmode 100hd,,,PASS,NEXT,,
13,2,RDL-3000-13,ALL,set ethmode,ethmode      = 100Mbps HD,,PASS,,,
14,1,RDL-3000-14,ALL,set ethmode 10fd,,,PASS,NEXT,,
14,2,RDL-3000-14,ALL,set ethmode,ethmode      = 10Mbps FD,,PASS,,,
15,1,RDL-3000-15,ALL,set ethmode 10hd,,,PASS,NEXT,,
15,2,RDL-3000-15,ALL,set ethmode,ethmode      = 10Mbps HD,,PASS,,,
16,1,RDL-3000-16,ALL,set eth,ethmode      = 10Mbps HD,,PASS,,,
17,1,RDL-3000-17,ALL,set ethm,ethmode      = 10Mbps HD,,PASS,,,
18,1,RDL-3000-18,ALL,set ethmode auto,,,PASS,NEXT,,
19,2,RDL-3000-19,ALL,set ethmode,ethmode      = auto,,PASS,,,
20,1,RDL-3000-20,ALL,set ethmode1 ,Error: Bad command,,PASS,,,
21,1,RDL-3000-21,ALL,set ethmode  invalid,Syntax: ethmode,,PASS,,,
22,1,RDL-3000-22,ALL,set sntp  test,Syntax: sntp,,PASS,,,
