TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
1,1,RDL-3000-0,SC,save config,,,PASS,,chsize=5,
2,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,chsize=5,
3,1,RDL-3000-0,SS,save config,,,PASS,,chsize=5,
4,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,chsize=5,
5,1,RDL-3000-400,SC,new group,group ID: ?,group_id1,PASS,NEXT,chsize=5,
6,1,RDL-3000-400,SC,show groups $group_id1,Group,,PASS,,chsize=5,
7,1,RDL-3000-400,SC,set idname $group_id1 NEW_GROUP ,idname       = NEW_GROUP,,PASS,,chsize=5,
8,1,RDL-3000-401,SC,set grpvid $group_id1 100,grpvid       = 100,,PASS,,chsize=5,
9,1,RDL-3000-400,SC,set grpviden $group_id1 on,grpviden     = on,,PASS,,chsize=5,
10,1,RDL-3000-400,SC,set groupmode $group_id1 mimoab,groupmode.*= mimoab,,PASS,,chsize=5,
11,1,RDL-3000-400,SC,enable $group_id1,ID enabled,,PASS,,chsize=5,
12,1,RDL-3000-400,SC,show groups $group_id1,NEW_GROUP     Group,,PASS,,chsize=5,
13,1,RDL-3000-400,SC,del id $group_id1,,,PASS,NEXT,chsize=5,
14,1,RDL-3000-400,SC,show groups $group_id1,Invalid ID status,,PASS,,chsize=5,
15,1,RDL-3000-401,SC,new group,group ID: ?,group_id2,PASS,,chsize=5,
16,1,RDL-3000-401,SC,set idname $group_id2 OTHER_GROUP ,idname       = OTHER_GROUP,,PASS,,chsize=5,
17,1,RDL-3000-401,SC,set groupmode $group_id2 mimoab,groupmode    = mimoab,,PASS,,chsize=5,
18,1,RDL-3000-401,SC,set grpvid $group_id2 200,grpvid       = 200,,PASS,,chsize=5,
19,1,RDL-3000-401,SC,set grpviden $group_id2 on,grpviden     = on,,PASS,,chsize=5,
20,1,RDL-3000-401,SC,set grppri $group_id2 2,grppri       = 2,,PASS,,chsize=5,
21,1,RDL-3000-401,SC,set grpcir $group_id2 50,grpcir       = 50,,PASS,,chsize=5,
22,1,RDL-3000-401,SC,set grppir $group_id2 50,grppir       = 50,,PASS,,chsize=5,
23,1,RDL-3000-401,SC,set grpcir $group_id2 100000,Error: Out of range.,,PASS,,chsize=5,
24,1,RDL-3000-401,SC,set grppir $group_id2 50000,grppir       = 50000,,PASS,,chsize=5,
25,1,RDL-3000-401,SC,set grpcir $group_id2 49,Syntax: grpcir,,PASS,,chsize=5,
26,1,RDL-3000-401,SC,set grppir $group_id2 49,Syntax: grppir,,PASS,,chsize=5,
27,1,RDL-3000-401,SC,set grpcir $group_id2 100001,Syntax: grpcir,,PASS,,chsize=5,
28,1,RDL-3000-401,SC,set grppir $group_id2 100001,Syntax: grppir,,PASS,,chsize=5,
29,1,RDL-3000-401,SC,set grpcir $group_id2 650,grpcir       = 650,,PASS,,chsize=5,
30,1,RDL-3000-401,SC,set grppir $group_id2 45000,grppir       = 45000,,PASS,,chsize=5,
31,1,RDL-3000-401,SC,set bsporten $group_id2 off,bsporten     = off,,PASS,,chsize=5,
32,1,RDL-3000-401,SC,set sstoss $group_id2 off,sstoss       = off,,PASS,,chsize=5,
33,1,RDL-3000-401,SC,enable $group_id2,ID enabled,,PASS,,chsize=5,
34,1,RDL-3000-401,SC,show groups $group_id2,OTHER_GROUP     Group,,PASS,,chsize=5,
35,1,RDL-3000-401,SC,del id $group_id2,,,PASS,,chsize=5,
36,1,RDL-3000-402,SC,set chsize 5,,,PASS,NEXT,chsize=5,
37,1,RDL-3000-402,SC,save config,,,PASS,,chsize=5,
38,1,RDL-3000-403,SC,new group,group ID: ?,group_id3,PASS,,chsize=5,
39,1,RDL-3000-404,SC,set idname $group_id3 TEST_GROUP1,idname       = TEST_GROUP1,,PASS,,chsize=5,
40,1,RDL-3000-405,SC,set groupmode $group_id3 mimoab,groupmode    = mimoab,,PASS,,chsize=5,
41,1,RDL-3000-401,SC,set grpvid $group_id3 300,grpvid       = 300,,PASS,,chsize=5,
42,1,RDL-3000-406,SC,set grpviden $group_id3 on,grpviden     = on,,PASS,,chsize=5,
43,1,RDL-3000-407,SC,set bsporten $group_id3 off,bsporten     = off,,PASS,,chsize=5,
44,1,RDL-3000-408,SC,set bsporten $group_id3 on,bsporten     = on,,PASS,,chsize=5,
45,1,RDL-3000-409,SC,set sstoss $group_id3 on,sstoss       = on,,PASS,,chsize=5,
46,1,RDL-3000-410,SC,set sstoss $group_id3 off,sstoss       = off,,PASS,,chsize=5,
47,1,RDL-3000-411,SC,set groupmode $group_id3 mimoa,groupmode    = mimoa,,PASS,,chsize=5,
48,1,RDL-3000-412,SC,set grprate $group_id3 0,(1.5 Mbps),,PASS,,chsize=5,
49,1,RDL-3000-413,SC,set grprate $group_id3 1,(3 Mbps),,PASS,,chsize=5,
50,1,RDL-3000-414,SC,set grprate $group_id3 2,(4.5 Mbps),,PASS,,chsize=5,
51,1,RDL-3000-415,SC,set grprate $group_id3 3,(6 Mbps),,PASS,,chsize=5,
