TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
1,1,RDL-3000-0,SC,save config,,,PASS,,chsize=0.875,
2,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,chsize=0.875,
3,1,RDL-3000-0,SS,save config,,,PASS,,chsize=0.875,
4,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,chsize=0.875,
5,2,RDL-3000-214,SC,set cp 1,,,PASS,,chsize=0.875,
6,1,RDL-3000-400,SC,new group,group ID: ?,group_id1,PASS,NEXT,chsize=0.875,
7,1,RDL-3000-400,SC,show groups $group_id1,Group,,PASS,,chsize=0.875,
8,1,RDL-3000-400,SC,set idname $group_id1 NEW_GROUP ,idname       = NEW_GROUP,,PASS,,chsize=0.875,
9,1,RDL-3000-401,SC,set grpvid $group_id1 100,grpvid       = 100,,PASS,,chsize=0.875,
10,1,RDL-3000-400,SC,set grpviden $group_id1 on,grpviden     = on,,PASS,,chsize=0.875,
11,1,RDL-3000-400,SC,set groupmode $group_id1 mimoab,groupmode.*= mimoab,,PASS,,chsize=0.875,
12,1,RDL-3000-400,SC,enable $group_id1,ID enabled,,PASS,,chsize=0.875,
13,1,RDL-3000-400,SC,show groups $group_id1,NEW_GROUP     Group,,PASS,,chsize=0.875,
14,1,RDL-3000-400,SC,del id $group_id1,,,PASS,NEXT,chsize=0.875,
15,1,RDL-3000-400,SC,show groups $group_id1,Invalid ID status,,PASS,,chsize=0.875,
16,1,RDL-3000-401,SC,new group,group ID: ?,group_id2,PASS,,chsize=0.875,
17,1,RDL-3000-401,SC,set idname $group_id2 OTHER_GROUP ,idname       = OTHER_GROUP,,PASS,,chsize=0.875,
18,1,RDL-3000-401,SC,set groupmode $group_id2 mimoab,groupmode    = mimoab,,PASS,,chsize=0.875,
19,1,RDL-3000-401,SC,set grpvid $group_id2 200,grpvid       = 200,,PASS,,chsize=0.875,
20,1,RDL-3000-401,SC,set grpviden $group_id2 on,grpviden     = on,,PASS,,chsize=0.875,
21,1,RDL-3000-401,SC,set grppri $group_id2 2,grppri       = 2,,PASS,,chsize=0.875,
22,1,RDL-3000-401,SC,set grpcir $group_id2 50,grpcir       = 50,,PASS,,chsize=0.875,
23,1,RDL-3000-401,SC,set grppir $group_id2 50,grppir       = 50,,PASS,,chsize=0.875,
24,1,RDL-3000-401,SC,set grpcir $group_id2 100000,Error: Out of range.,,PASS,,chsize=0.875,
25,1,RDL-3000-401,SC,set grppir $group_id2 50000,grppir       = 50000,,PASS,,chsize=0.875,
26,1,RDL-3000-401,SC,set grpcir $group_id2 49,Syntax: grpcir,,PASS,,chsize=0.875,
27,1,RDL-3000-401,SC,set grppir $group_id2 49,Syntax: grppir,,PASS,,chsize=0.875,
28,1,RDL-3000-401,SC,set grpcir $group_id2 100001,Syntax: grpcir,,PASS,,chsize=0.875,
