TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
1,1,RDL-3000-0,SC,set webtimeout 60,,,PASS,,,
1,1,RDL-3000-0,SC,set webtimeout,webtimeout   = 60,,PASS,,,
1,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
2,1,RDL-3000-0,SC,save config,,,PASS,,,
3,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,,
4,1,RDL-3000-0,SS,save config,,,PASS,,,
5,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
6,1,RDL-3000-1,ALL,set sysname RDL_Test,,,PASS,NEXT,,
7,2,RDL-3000-1,ALL,set sysname,sysname      = RDL_Test,,PASS,,,
8,1,RDL-3000-2,ALL,set sysname1   failed_name,Error: Bad command,,PASS,,,
9,1,RDL-3000-3,ALL,set syscontact Hello_There,,,PASS,NEXT,,
10,2,RDL-3000-3,ALL,set syscontact,syscontact   = Hello_There,,PASS,,,
11,1,RDL-3000-4,ALL,set syscontacted    failed_test,Error: Bad command,,PASS,,,
12,1,RDL-3000-5,ALL,set sysloc  Markham,,,PASS,NEXT,,
13,2,RDL-3000-6,ALL,set sysloc,sysloc       = Markham,,PASS,,,
14,1,RDL-3000-7,ALL,set sysloc1  failed_test,Error: Bad command,,PASS,,,
15,1,RDL-3000-8,ALL,set sysdescr RDL_3000,,,PASS,NEXT,,
16,2,RDL-3000-8,ALL,set sysdescr,sysdescr     = RDL_3000,,PASS,,,
17,1,RDL-3000-9,ALL,set sysdescribe failed_test,Error: Bad command,,PASS,,,
18,1,RDL-3000-10,ALL,set sntppoll 12,,,PASS,,,
19,1,RDL-3000-11,ALL,set sntppoll -12,Syntax: sntppoll,,PASS,,,
20,1,RDL-3000-12,ALL,set ethmode 100fd,,,PASS,NEXT,,
21,2,RDL-3000-12,ALL,set ethmode,ethmode      = 100Mbps FD,,PASS,,,
22,1,RDL-3000-13,ALL,set ethmode 100hd,,,PASS,NEXT,,
23,2,RDL-3000-13,ALL,set ethmode,ethmode      = 100Mbps HD,,PASS,,,
24,1,RDL-3000-14,ALL,set ethmode 10fd,,,PASS,NEXT,,
25,2,RDL-3000-14,ALL,set ethmode,ethmode      = 10Mbps FD,,PASS,,,
26,1,RDL-3000-15,ALL,set ethmode 10hd,,,PASS,NEXT,,
27,2,RDL-3000-15,ALL,set ethmode,ethmode      = 10Mbps HD,,PASS,,,
28,1,RDL-3000-16,ALL,set ethmode,ethmode      = 10Mbps HD,,PASS,,,
29,1,RDL-3000-17,ALL,set ethmode,ethmode      = 10Mbps HD,,PASS,,,
30,1,RDL-3000-18,ALL,set ethmode auto,,,PASS,NEXT,,
31,2,RDL-3000-19,ALL,set ethmode,ethmode      = auto,,PASS,,,
32,1,RDL-3000-20,ALL,set ethmode1 ,Error: Bad command,,PASS,,,
33,1,RDL-3000-21,ALL,set ethmode  invalid,Syntax: ethmode,,PASS,,,
34,1,RDL-3000-22,ALL,set sntp  test,Syntax: sntp,,PASS,,,
35,1,RDL-3000-23,ALL,set sntp on,,,PASS,NEXT,,
36,2,RDL-3000-23,ALL,set sntp,sntp         = On,,PASS,,,
37,1,RDL-3000-24,ALL,set sntpip 10.10.10.1,,,PASS,NEXT,,
38,2,RDL-3000-24,ALL,set sntpip,sntpip       = 10.10.10.1,,PASS,,,
39,1,RDL-3000-25,ALL,set sntpip 0,Syntax: sntpip,,PASS,,,
40,1,RDL-3000-26,ALL,set sntppoll  12,,,PASS,,,
41,1,RDL-3000-27,ALL,set sntppoll 10000000,Syntax: sntppoll,,PASS,,,
42,1,RDL-3000-28,ALL,set gmt -4:30,,,PASS,NEXT,,
43,2,RDL-3000-28,ALL,set gmt,gmt          = -4:30,,PASS,,,
44,1,RDL-3000-29,ALL,set gmt 12:34:60,Syntax: gmt,,PASS,,,
45,1,RDL-3000-30,ALL,set sntp off,,,PASS,,,
46,1,RDL-3000-31,ALL,set syslog off,,,PASS,,,
47,1,RDL-3000-32,ALL,set syslog  failed_test,Syntax: syslog,,PASS,,,
48,1,RDL-3000-33,ALL,set syslog on,,,PASS,,,
49,1,RDL-3000-34,ALL,set syslogip 10.10.10.2,,,PASS,NEXT,,
50,2,RDL-3000-34,ALL,set syslogip,syslogip     = 10.10.10.2,,PASS,,,
51,1,RDL-3000-35,ALL,set syslogip 0,Syntax: syslogip,,PASS,,,
52,1,RDL-3000-36,ALL,set http off,,,PASS,,,
53,1,RDL-3000-37,ALL,set http failed_test,Syntax: http,,PASS,,,
54,1,RDL-3000-38,ALL,set http on,,,PASS,,,
55,1,RDL-3000-39,ALL,set https on,,,PASS,,,
56,1,RDL-3000-40,ALL,set https  invalid_opt,Syntax: https,,PASS,,,
57,1,RDL-3000-41,ALL,set https off,,,PASS,,,
58,1,RDL-3000-42,ALL,set telnet off,,,PASS,,,
59,1,RDL-3000-43,ALL,set telnet testing,Syntax: telnet.*,,PASS,,,
60,1,RDL-3000-44,ALL,set telnet on,,,PASS,,,
61,1,RDL-3000-45,ALL,set telnetport 23,,,PASS,,,
62,1,RDL-3000-46,ALL,set telnetport -1,Syntax: telnetpor,,PASS,,,
63,1,RDL-3000-47,ALL,set ssh off,,,PASS,,,
64,1,RDL-3000-48,ALL,set ssh failed_test,Syntax: ssh,,PASS,,,
65,1,RDL-3000-49,ALL,set ssh on,,,PASS,,,
66,1,RDL-3000-50,ALL,set usrauthmode radius,,,PASS,,,
67,1,RDL-3000-51,ALL,set usrauthmode local radius,,,PASS,,,
68,1,RDL-3000-52,ALL,set usrauthmode radius local,,,PASS,,,
69,1,RDL-3000-53,ALL,set usrauthmode local,,,PASS,,,
70,1,RDL-3000-54,ALL,set usrauthmode,usrauthmode = local,,PASS,,,
71,1,RDL-3000-55,ALL,set usrauthmode failed_radius,Syntax: usrauthmode,,PASS,,,
72,1,RDL-3000-56,ALL,set snmp none,,,PASS,,,
73,2,RDL-3000-56,ALL,set snmpversion none,Syntax: snmp,,PASS,,,
74,1,RDL-3000-57,ALL,set snmp v3,,,PASS,,,
75,2,RDL-3000-57,ALL,set snmpversion v3,,,PASS,,,
76,1,RDL-3000-58,ALL,set snmpversion v2,,,PASS,NEXT,,
77,2,RDL-3000-58,ALL,set snmp v2,,,PASS,,,
78,2,RDL-3000-58,ALL,set snmp,snmp         = v2,,PASS,,,
79,1,RDL-3000-59,ALL,set snmpversion v4,Syntax: snmpversion.*,,PASS,,,
80,1,RDL-3000-60,ALL,set mgmtag  failed_test,Syntax: mgmtag,,PASS,,,
81,1,RDL-3000-61,ALL,set mgmtag on,,,PASS,,,
82,1,RDL-3000-62,ALL,set mgmvid -1,Syntax: mgmvid,,PASS,,,
83,1,RDL-3000-63,ALL,set mgmvid 0,,,PASS,,,
84,1,RDL-3000-64,ALL,set mgmvid 4095,,,PASS,,,
85,1,RDL-3000-65,ALL,set mgmvid 4096,Syntax: mgmvid,,PASS,,,
86,1,RDL-3000-66,ALL,set mgmvid ,mgmvid       = 4095,,PASS,,,
87,1,RDL-3000-67,ALL,set mgmvid  test,Syntax: mgmvid,,PASS,,,
88,1,RDL-3000-68,ALL,set mgmtag off,,,PASS,,,
89,1,RDL-3000-69,ALL,set radius mode 1 on,,,PASS,,,
90,1,RDL-3000-70,ALL,set radius ip 1  1.1.1.1,,,PASS,,,
91,1,RDL-3000-71,ALL,set radius port  1 1812,,,PASS,,,
92,1,RDL-3000-72,ALL,set radius retries 1 3,,,PASS,,,
93,1,RDL-3000-73,ALL,set radius secret 1 testing123456,,,PASS,,,
94,1,RDL-3000-74,ALL,set radius timeout 1  5,,,PASS,,,
95,1,RDL-3000-75,ALL,set radius mode 1 off,,,PASS,,,
96,1,RDL-3000-76,ALL,set radius mode 2 on,,,PASS,,,
97,1,RDL-3000-77,ALL,set radius ip 2  1.1.1.1,,,PASS,,,
98,1,RDL-3000-78,ALL,set radius port  2 1812,,,PASS,,,
99,1,RDL-3000-79,ALL,set radius retries 2 3,,,PASS,,,
100,1,RDL-3000-80,ALL,set radius secret 2 testing123456,,,PASS,,,
101,1,RDL-3000-81,ALL,set radius timeout 2  5,,,PASS,,,
102,1,RDL-3000-82,ALL,set radius mode 2 off,,,PASS,,,
103,1,RDL-3000-83,ALL,snmptrap add 2.2.2.2  167  ,Error: Missing parameter,,PASS,,,
104,1,RDL-3000-84,ALL,snmptrap change 1 165 ,Error: Missing parameter,,PASS,,,
105,1,RDL-3000-85,ALL,snmptrap clearall 12,Error: Bad command,,PASS,,,
106,1,RDL-3000-86,ALL,snmptrap del 111,ERROR executing command,,PASS,,,
107,1,RDL-3000-87,ALL,snmptrap add 1.1.1.1  162 hello11,,,PASS,NEXT,,
108,2,RDL-3000-87,ALL,apply config,,,PASS,,,
109,1,RDL-3000-88,ALL,snmptrap change 0  -p  165,,,PASS,NEXT,,
110,2,RDL-3000-88,ALL,apply config,,,PASS,,,
111,1,RDL-3000-89,ALL,snmptrap clearall,,,PASS,,,
112,1,RDL-3000-90,ALL,apply config,,,PASS,,,
113,1,RDL-3000-91,ALL,snmptrap add 1.1.1.1 162 hello11,,,PASS,NEXT,,
114,2,RDL-3000-91,ALL,snmptrap add 2.2.2.2 162 hello22,,,PASS,NEXT,,
115,3,RDL-3000-91,ALL,snmptrap add 3.3.3.3 162 hello33,,,PASS,NEXT,,
116,4,RDL-3000-91,ALL,snmptrap add 4.4.4.4 162 hello44,,,PASS,NEXT,,
117,5,RDL-3000-91,ALL,snmptrap add 5.5.5.5 162 hello55,,,PASS,NEXT,,
118,6,RDL-3000-91,ALL,snmptrap add 6.6.6.6 162 hello66,,,PASS,NEXT,,
