TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
2,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,,
3,1,RDL-3000-0,SS,save config,,,PASS,,,
4,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
5,1,RDL-3000-490,SC,new link,link ID: ?,link_id10,PASS,NEXT,,
6,2,RDL-3000-490,SC,set idname $link_id10 TEST_LINK,idname       = TEST_LINK,,PASS,,,
7,3,RDL-3000-490,SC,set peermac $link_id10 00:09:02:14:B4:F1,peermac      = 00:09:02:14:B4:F1,,PASS,,,
8,4,RDL-3000-490,SC,set linkmode $link_id10 mimoab,linkmode.* = mimoab,,PASS,,,
9,5,RDL-3000-490,SC,enable $link_id10,ID enabled,,PASS,,,
10,1,RDL-3000-491,SC,new group,group ID: ?,group_id10,PASS,NEXT,,
11,3,RDL-3000-491,SC,set idname $group_id10 TEST_GROUP1 ,idname       = TEST_GROUP,,PASS,,,
12,1,RDL-3000-401,SC,set grpvid $group_id10 100,grpvid       = 100,,PASS,,chsize=3.5,
13,4,RDL-3000-491,SC,set grpviden $group_id10 on,grpviden     = on,,PASS,,,
14,5,RDL-3000-491,SC,set groupmode $group_id10 mimoab,groupmode.* = mimoab,,PASS,,,
15,6,RDL-3000-491,SC,enable $group_id10,ID enabled,,PASS,,,
16,1,RDL-3000-500,SC,new conn,conn ID: ?,conn_id1,PASS,NEXT,,
17,2,RDL-3000-500,SC,show conns $conn_id1,Invalid ID type,,PASS,,,
18,2,RDL-3000-500,SC,set srvpri $conn_id1 3,conpri       = 3,,PASS,,,
19,2,RDL-3000-500,SC,set srvvid  $conn_id1 3,convid       = 3,,PASS,,,
20,3,RDL-3000-500,SC,set idname $conn_id1 NEW_CONN,idname       = NEW_CONN,,PASS,,,
21,4,RDL-3000-500,SC,set conviden $conn_id1 on,conviden     = on,,PASS,NEXT,,
22,5,RDL-3000-500,SC,set conlid $conn_id1 $link_id10,conlid,,PASS,NEXT,,
23,6,RDL-3000-500,SC,set congid $conn_id1 $group_id10,congid,,PASS,NEXT,,
24,7,RDL-3000-500,SC,enable $conn_id1,ID enabled,,PASS,,,
25,1,RDL-3000-501,SC,del id $conn_id1,,,PASS,NEXT,,
26,2,RDL-3000-501,SC,show conns $conn_id1,Invalid ID status,,PASS,,,
27,1,RDL-3000-502,SC,new conn,conn ID: ?,conn_id2,PASS,,,
28,2,RDL-3000-502,SC,set idname $conn_id2 OTHER_CONN,idname       = OTHER_CONN,,PASS,,,
29,1,RDL-3000-401,SC,set convid $conn_id2 200,convid       = 200,,PASS,,chsize=3.5,
30,3,RDL-3000-502,SC,set conviden $conn_id2 on,conviden     = on,,PASS,NEXT,,
31,4,RDL-3000-502,SC,set conlid $conn_id2 $link_id10,conlid,,PASS,NEXT,,
32,5,RDL-3000-502,SC,set congid $conn_id2 $group_id10,congid,,PASS,NEXT,,
33,6,RDL-3000-502,SC,enable $conn_id2,ID enabled,,PASS,,,
34,1,RDL-3000-504,SC,set idname $conn_id2 LONG_NAME_LONG_NAME_LONG,Error: String too long,,PASS,,,
35,1,RDL-3000-505,SC,set ulcir $conn_id2 50,ulcir        = 50,,PASS,,,
36,1,RDL-3000-506,SC,set ulcir $conn_id2 50000,ulcir        = 50000,,PASS,,,
37,1,RDL-3000-507,SC,set ulcir $conn_id2 60000,Syntax: ulcir,,PASS,,,
38,1,RDL-3000-508,SC,set dlcir $conn_id2 50,dlcir        = 50,,PASS,,,
39,1,RDL-3000-509,SC,set dlcir $conn_id2 50000,dlcir        = 50000,,PASS,,,
40,1,RDL-3000-510,SC,set dlcir $conn_id2 -500,Syntax: dlcir,,PASS,,,
41,1,RDL-3000-511,SC,set ulpir $conn_id2 50,ulpir        = 50,,PASS,,,
42,1,RDL-3000-512,SC,set ulpir $conn_id2 50000,ulpir        = 50000,,PASS,,,
43,1,RDL-3000-513,SC,set ulpir $conn_id2 76000,ulpir        = 76000,,PASS,,,
44,1,RDL-3000-514,SC,set dlpir $conn_id2 50,dlpir        = 50,,PASS,,,
45,1,RDL-3000-515,SC,set dlpir $conn_id2 50000,dlpir        = 50000,,PASS,,,
46,1,RDL-3000-516,SC,set dlpir $conn_id2 67890,dlpir        = 67890,,PASS,,,
47,1,RDL-3000-517,SC,set convid $conn_id2 0,convid       = 0,,PASS,,,
48,1,RDL-3000-518,SC,set convid $conn_id2 6000,Syntax: convid,,PASS,,,
49,1,RDL-3000-519,SC,set conviden $conn_id2 test,Syntax: conviden,,PASS,,,
