TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 R4_SC_default,,,PASS,,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
4,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
5,1,RDL-3000-110,ALL,set sysmode test,^Syntax: sysmode,,PASS,,,
6,1,RDL-3000-111,ALL,set sysmode pmpss,,,PASS,NEXT,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
7,2,RDL-3000-111,ALL,set sysmode,sysmode      = pmpss,,PASS,,,
8,3,RDL-3000-111,SC,set sysmode pmpsc,,,PASS,NEXT,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
9,4,RDL-3000-111,SC,set sysmode,sysmode      = pmpsc,,PASS,,,
13,1,RDL-3000-112,ALL,set chsize 50,Syntax: chsize,,PASS,,,
14,1,RDL-3000-113,ALL,set chsize 10,,,PASS,NEXT,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
15,2,RDL-3000-113,ALL,set chsize,chsize       = 10 MHz,,PASS,,,
16,1,RDL-3000-114,ALL,set chsize 20,,,PASS,NEXT,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
17,2,RDL-3000-114,ALL,set chsize,chsize       = 20 MHz,,PASS,,,
18,1,RDL-3000-115,ALL,set rffreq ,,,PASS,NEXT,,
22,1,RDL-3000-117,SS,set autoscan on,,,PASS,NEXT,,
23,2,RDL-3000-117,SS,set autoscan,autoscan     = On,,PASS,,,
24,1,RDL-3000-118,SS,set autoscan off,,,PASS,NEXT,,
25,2,RDL-3000-118,SS,set autoscan,autoscan     = Off,,PASS,,,
27,1,RDL-3000-120,ALL,set maxtxpower  10,,,PASS,NEXT,,
28,2,RDL-3000-120,ALL,set maxtxpower ,maxtxpower = 10,,PASS,,,
29,1,RDL-3000-121,ALL,set maxtxpower 5,,,PASS,,,
30,2,RDL-3000-121,ALL,set maxtxpower,maxtxpower = 5,,PASS,,,
31,1,RDL-3000-122,ALL,set maxtxpower -10,,,PASS,,,
32,1,RDL-3000-123,ALL,set maxtxpower  0,,,PASS,,,
33,1,RDL-3000-124,ALL,set maxtxpower 25,^ Error: Bad command,,PASS,,,
34,1,RDL-3000-125,ALL,set maxtxpower  test,Syntax: maxtxpower,,PASS,,,
35,1,RDL-3000-126,SC,set maxdst  0,,,PASS,,,
36,1,RDL-3000-127,SC,set maxdst  100,,,PASS,,,
37,1,RDL-3000-128,SC,set maxdst  test,Syntax: maxdst,,PASS,,,
38,2,RDL-3000-128,SC,set maxdst -1,Syntax: maxdst,,PASS,,,
39,3,RDL-3000-128,SC,set maxdst 101,Syntax: maxdst,,PASS,,,
40,4,RDL-3000-128,SC,set maxdst,maxdst       = 100 # 100 km / 62 miles,,PASS,,,
41,5,RDL-3000-128,SC,set maxdst 88,,,PASS,,,
42,6,RDL-3000-128,SC,set maxdst,maxdst       = 88 # 88 km / 55 miles,,PASS,,,
43,1,RDL-3000-129,SC,set dfsaction none,,,PASS,NEXT,,
44,2,RDL-3000-129,SC,set dfsaction,dfsaction    = none,,PASS,,,
45,1,RDL-3000-130,SC,set dfsaction txoff,,,PASS,NEXT,,
46,2,RDL-3000-130,SC,set dfsaction,dfsaction    = txoff,,PASS,,,
47,1,RDL-3000-131,SC,set dfsaction chgfreq,,,PASS,NEXT,,
48,2,RDL-3000-131,SC,set dfsaction,dfsaction    = chgfreq,,PASS,,,
49,1,RDL-3000-132,SC,set dfsaction 2,,,PASS,NEXT,,
50,2,RDL-3000-132,SC,set dfsaction,dfsaction    = chgfreq,,PASS,,,
51,1,RDL-3000-133,SC,set dfsaction 1,,,PASS,NEXT,,
52,2,RDL-3000-133,SC,set dfsaction,dfsaction    = txoff,,PASS,,,
53,1,RDL-3000-134,SC,set dfsaction 0,,,PASS,NEXT,,
54,2,RDL-3000-134,SC,set dfsaction,dfsaction    = none,,PASS,,,
55,1,RDL-3000-135,SC,set dfsaction invalid_opt,^Syntax: dfsaction,,PASS,,,
56,1,RDL-3000-136,ALL,set antgain 0,,,PASS,,,
57,1,RDL-3000-137,ALL,set antgain 100,,,PASS,,,
58,1,RDL-3000-138,ALL,set antgain 30,,,PASS,NEXT,,
59,2,RDL-3000-138,ALL,set antgain,antgain      = 30,,PASS,,,
60,1,RDL-3000-139,ALL,set antgain -1,Syntax: antgain,,PASS,,,
61,1,RDL-3000-140,ALL,set antgain 101,Syntax: antgain,,PASS,,,
62,1,RDL-3000-141,SC,set regper 1,,,PASS,,,
63,1,RDL-3000-142,SC,set regper 100,,,PASS,,,
64,1,RDL-3000-143,SC,set regper 4,,,PASS,,,
65,1,RDL-3000-144,SC,set regper  0,Syntax: regper,,PASS,,,
66,1,RDL-3000-145,SC,set regper 101,Syntax: regper,,PASS,,,
67,1,RDL-3000-146,SC,set schcycle 10000,,,PASS,,,
68,1,RDL-3000-147,SC,set schcycle 20,,,PASS,,,
69,1,RDL-3000-148,SC,set schcycle  0,Syntax: schcycle,,PASS,,,
70,1,RDL-3000-149,SC,set schcycle 10001,Syntax: schcycle,,PASS,,,
71,1,RDL-3000-150,SC,set schcycle  21,,,PASS,NEXT,,
72,1,RDL-3000-151,SC,set schcycle 21,,,PASS,NEXT,,
73,2,RDL-3000-151,SC,set schcycle,schcycle     = 21,,PASS,,,
74,1,RDL-3000-152,SC,set framesize 20,,,PASS,NEXT,,
75,2,RDL-3000-152,SC,set framesize,framesize    = 20,,PASS,,,
76,1,RDL-3000-153,SC,set schcycle  1,,,PASS,NEXT,,
77,2,RDL-3000-153,SC,set schcycle,schcycle     = 1,,PASS,,,
78,1,RDL-3000-154,SC,set framesize 0,Syntax: framesize,,PASS,,,
79,1,RDL-3000-155,SC,set framesize 1,,,PASS,NEXT,,
80,2,RDL-3000-155,SC,set framesize,framesize    = 1,,PASS,,,
81,1,RDL-3000-156,SC,set fixframe on,,,PASS,NEXT,,
82,2,RDL-3000-156,SC,set fixframe,fixframe     = On,,PASS,,,
83,1,RDL-3000-157,SC,set dlratio 105,Syntax: dlratio,,PASS,,,
84,1,RDL-3000-158,SC,set dlratio 20,,,PASS,NEXT,,
85,2,RDL-3000-158,SC,set dlratio,dlratio      = 20,,PASS,,,
86,1,RDL-3000-159,SC,set dlratio 80,,,PASS,NEXT,,
87,2,RDL-3000-159,SC,set dlratio,dlratio      = 80,,PASS,,,
88,1,RDL-3000-160,SC,set dlratio 20,,,PASS,,,
118,1,RDL-3000-180,SC,set fixframe off,,,PASS,NEXT,,
119,2,RDL-3000-180,SC,set fixframe,fixframe     = Off,,PASS,,,
120,1,RDL-3000-181,ALL,set radio off,,,PASS,,,
131,3,RDL-3000-186,SC,save config,,,PASS,,,
121,2,RDL-3000-181,ALL,set radio,radio        = off,,PASS,,,
122,1,RDL-3000-182,ALL,set radio rf1,,,PASS,,,
131,3,RDL-3000-186,SC,save config,,,PASS,,,
123,2,RDL-3000-182,ALL,set radio,rf1,,PASS,,,
124,1,RDL-3000-183,ALL,set radio rf2,,,PASS,,,
131,3,RDL-3000-186,SC,save config,,,PASS,,,
125,2,RDL-3000-183,ALL,set radio,radio        = rf2,,PASS,,,
126,1,RDL-3000-184,ALL,set radio rf1rf2,,,PASS,,,
131,3,RDL-3000-186,SC,save config,,,PASS,,,
127,2,RDL-3000-184,ALL,set radio,radio = rf1rf2,,PASS,,,
128,1,RDL-3000-185,ALL,set radio on,,,PASS,,,
131,3,RDL-3000-186,SC,save config,,,PASS,,,
129,1,RDL-3000-186,SC,set cp,cp           =,,PASS,,, 
130,2,RDL-3000-186,SC,set cp 0,,,PASS,,,
131,3,RDL-3000-186,SC,save config,,,PASS,,,
132,4,RDL-3000-186,SC,set cp,cp           = 0,,PASS,,,
133,5,RDL-3000-186,SC,set cp 1,,,PASS,,, 
134,6,RDL-3000-186,SC,set cp,cp           = 1 ## [Running] = 0,,PASS,,,
135,7,RDL-3000-186,SC,set cp 1,,,PASS,,, 
136,8,RDL-3000-186,SC,save config,,,PASS,,,
137,9,RDL-3000-186,SC,set cp,cp           = 1,,PASS,,,
138,10,RDL-3000-186,SC,set cp 2,Error: Out of range,,PASS,,,
139,11,RDL-3000-186,SC,set cp,cp           = 1,,PASS,,,
140,12,RDL-3000-186,SC,set cp 0,,,PASS,,,
141,13,RDL-3000-186,SC,save config,,,PASS,,,
142,14,RDL-3000-186,SC,set cp,cp           = 0,,PASS,,,
143,11,RDL-3000-186,SS,get antalign,,,PASS,,,
144,11,RDL-3000-186,SC,get dldpkt,,,PASS,,,
145,11,RDL-3000-186,SC,get dloir ,,,PASS,,,
146,11,RDL-3000-186,SC,get dlrpkt,,,PASS,,,
147,11,RDL-3000-186,SC,get dltpkt,,,PASS,,,
148,11,RDL-3000-186,SC,get erxpkt,,,PASS,,,
149,11,RDL-3000-186,SC,get erxpktd,,,PASS,,,
150,11,RDL-3000-186,SC,get ethsts,,,PASS,,,
151,11,RDL-3000-186,SC,get etxpkt,,,PASS,,,
152,11,RDL-3000-186,SC,get ldlblk,,,PASS,,,
153,11,RDL-3000-186,SC,get ldlbr,,,PASS,,,
154,11,RDL-3000-186,SC,get ldldblk,,,PASS,,,
155,11,RDL-3000-186,SC,get ldllfr,,,PASS,,,
156,11,RDL-3000-186,SC,get ldlrblk,,,PASS,,,
157,11,RDL-3000-186,SC,get ldlrssi,,,PASS,,,
158,11,RDL-3000-186,SC,get ldlrssi2,,,PASS,,,
159,11,RDL-3000-186,SC,get ldlsnr,,,PASS,,,
160,11,RDL-3000-186,SC,get ldlsnr2,,,PASS,,,
161,11,RDL-3000-186,SC,get llostc,,,PASS,,,
162,11,RDL-3000-186,SC,get lrcon,,,PASS,,,
163,11,RDL-3000-186,SC,get lrsrv,,,PASS,,,
164,11,RDL-3000-186,SC,get lscode,,,PASS,,,
165,11,RDL-3000-186,SC,get lulblk,,,PASS,,,
166,11,RDL-3000-186,SC,get lulbr,,,PASS,,,
167,11,RDL-3000-186,SC,get luldblk,,,PASS,,,
168,11,RDL-3000-186,SC,get lullfr,,,PASS,,,
169,11,RDL-3000-186,SC,get lulrblk,,,PASS,,,
170,11,RDL-3000-186,SC,get lulrssi,,,PASS,,,
171,11,RDL-3000-186,SC,get lulrssi2,,,PASS,,,
172,11,RDL-3000-186,SC,get lulsnr,,,PASS,,,
173,11,RDL-3000-186,SC,get lulsnr2,,,PASS,,,
174,11,RDL-3000-186,SC,get luptime,,,PASS,,,
175,11,RDL-3000-186,SC,get radiotype,radiotype = T352B,,PASS,,,
176,11,RDL-3000-186,SC,get regconn,regconn      = 0,,PASS,,,
177,11,RDL-3000-186,SC,get sysuptime,,,PASS,,,
178,11,RDL-3000-186,SC,get  temperature,,,PASS,,,
179,11,RDL-3000-186,SC,get ulrpkt,,,PASS,,,
180,11,RDL-3000-186,SC,get ultpkt,,,PASS,,,
181,11,RDL-3000-186,SC,get werxpkt,,,PASS,,,
182,11,RDL-3000-186,SC,get werxpktdis,werxpktdis   = 0,,PASS,,,
183,11,RDL-3000-186,SC,get werxpkterr,werxpkterr = 0,,PASS,,,
184,11,RDL-3000-186,SC,get wetxpkt,wetxpkt      = 0,,PASS,,,
185,11,RDL-3000-186,SC,get wetxpktdis,wetxpktdis   = 0,,PASS,,,
186,11,RDL-3000-186,SC,get wetxpkterr,wetxpkterr   = 0,,PASS,,,
187,11,RDL-3000-186,SC,get wsdb,,,PASS,,,
188,11,RDL-3000-187,SC,get regsrv,,,PASS,,,
189,11,RDL-3000-188,SC,get regstations,regstations  = 0,,PASS,,,
190,11,RDL-3000-189,SC,get rfstatus,,,PASS,,,
191,11,RDL-3000-190,SC,get syncsts,No signal,,PASS,,,
192,11,RDL-3000-191,SC,get uldpkt,,,PASS,,,
