TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
1,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
2,1,RDL-3000-218,SC,set fixframe off,,,PASS,NEXT,,
3,1,RDL-3000-218,SC,save config,,,PASS,NEXT,,
4,1,RDL-3000-218,SC,set chsize 3.5,,,PASS,NEXT,,
5,1,RDL-3000-218,SC,set chsize,chsize       = 3.5 MHz,,PASS,,,
6,1,RDL-3000-218,SC,save config,,,PASS,,,
7,1,RDL-3000-218,SC,new link,link ID: ?,link_id2_2,PASS,NEXT,,
8,1,RDL-3000-218,SC,set idname $link_id2_2 TEST_CS3_5,idname       = TEST_CS3_5,,PASS,,,
9,1,RDL-3000-218,SC,set peermac $link_id2_2 00:09:02:14:B4:F1,peermac      =00:09:02:14:B4:F1,,PASS,,,
10,1,RDL-3000-218,SC,set adaptmod $link_id2_2 off,adaptmod     = off,,PASS,,,
11,1,RDL-3000-218,SC,set linkmode $link_id2_2 mimoab,linkmode     = mimoab,,PASS,,,
12,1,RDL-3000-218,SC,enable $link_id2_2,ID enabled,,PASS,NEXT,,
13,1,RDL-3000-857,SC,get lactive $link_id2_2,lactive = No,,PASS,,,
14,1,RDL-3000-218,SC,disable $link_id2_2,ID disabled,,PASS,NEXT,,
15,1,RDL-3000-218,SC,enable $link_id2_2,ID enabled,,PASS,NEXT,,
16,1,RDL-3000-218,SC,get lssip $link_id2_2,ID enabled,,PASS,NEXT,,
17,1,RDL-3000-218,SC,set dlrate $link_id2_2 4,(6.3 Mbps),,PASS,,chsize=3.5,
18,1,RDL-3000-218,SC,set ulrate $link_id2_2 3,(4.2 Mbps),,PASS,,chsize=3.5,
19,1,RDL-3000-218,SC,set ldlpir $link_id2_2 43207,ldlpir       = 43207,,PASS,,,
20,1,RDL-3000-218,SC,set lulpir $link_id2_2 41200,lulpir       = 41200,,PASS,,,
21,1,RDL-3000-218,SC,show links $link_id2_2,Down,,PASS,,,
22,1,RDL-3000-219,SC,set idname $link_id2_2 MODIFIED_CS3_5,idname       = MODIFIED_CS3_5,,PASS,,,
23,1,RDL-3000-220,SC,show links $link_id2_2,Down,,PASS,,,
24,1,RDL-3000-221,SC,set peermac $link_id2_2 00:09:02:01:02:33,peermac      = 00:09:02:01:02:33,,PASS,,,
25,1,RDL-3000-222,SC,set linkmode $link_id2_2 mimoab,linkmode     = mimoab,,PASS,,,
26,1,RDL-3000-223,SC,set dlrate $link_id2_2 23,(29.4 Mbps),,PASS,,chsize=3.5,
27,1,RDL-3000-223,SC,set dlrate $link_id2_2 22,(28 Mbps),,PASS,,chsize=3.5,
28,1,RDL-3000-223,SC,set dlrate $link_id2_2 21,(25.2 Mbps),,PASS,,chsize=3.5,
29,1,RDL-3000-223,SC,set dlrate $link_id2_2 20,(22.4 Mbps),,PASS,,chsize=3.5,
30,1,RDL-3000-223,SC,set dlrate $link_id2_2 19,(21 Mbps),,PASS,,chsize=3.5,
31,1,RDL-3000-223,SC,set dlrate $link_id2_2 18,(18.9 Mbps),,PASS,,chsize=3.5,
